,All violations,Immigration violations,Entry of aliens illegally,Reentry of deported aliens,"Bringing in, transporting, harboring illegal aliens",Fraud and false statements to obtain or confer immigration benefits,"Fraud, forgery, misuse of visas, alien registration, and other documents","Fraud, forgery, misuse of identification documents",Conspiring to defraud the United States,"Employing unauthorized aliens, peonage, false attestations for employment",Other immigration violations,Naturalization violations,False representation as citizens of United States,"Fraud, misuse of citizen naturalization papers","Fraud, forgery, misuse of U.S. passports",Other naturalization violations,Total other violations,Racketeering,"Terrorism, threat to national security",Money laundering and financial fraud,"Weapons trafficking, unlawful possession by aliens",Drug trafficking,Obstructing justice,Alien prostitution,Other other violations
1992,9865.0,9766.0,6341.0,477.0,977.0,39.0,306.0,497.0,109.0,39.0,0.0,99.0,59.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,498.0,0.0,0.0,401.0
1993,11685.0,10189.0,7187.0,767.0,1008.0,72.0,383.0,688.0,37.0,40.0,7.0,287.0,221.0,5.0,61.0,0.0,1209.0,692.0,0.0,20.0,46.0,358.0,68.0,0.0,25.0
1994,10210.0,9180.0,6610.0,803.0,731.0,28.0,353.0,638.0,6.0,11.0,0.0,160.0,129.0,6.0,25.0,0.0,870.0,467.0,0.0,11.0,44.0,292.0,42.0,,13.0
1995,12075.0,11110.0,7446.0,1475.0,758.0,39.0,301.0,1032.0,6.0,52.0,,113.0,76.0,9.0,28.0,0.0,852.0,443.0,0.0,15.0,32.0,272.0,46.0,5.0,39.0
1996,12121.0,11014.0,6361.0,2331.0,1295.0,28.0,254.0,681.0,12.0,48.0,4.0,133.0,101.0,14.0,18.0,0.0,974.0,662.0,0.0,3.0,16.0,222.0,29.0,13.0,29.0
1997,16184.0,15219.0,9723.0,2859.0,1182.0,63.0,203.0,1127.0,10.0,48.0,4.0,164.0,105.0,22.0,37.0,0.0,801.0,342.0,0.0,,29.0,378.0,26.0,4.0,21.0
1998,21480.0,20768.0,15050.0,3149.0,1103.0,41.0,322.0,1032.0,18.0,48.0,5.0,129.0,81.0,16.0,32.0,0.0,583.0,313.0,0.0,25.0,27.0,146.0,33.0,7.0,32.0
1999,20471.0,19753.0,13515.0,3623.0,1403.0,36.0,366.0,765.0,8.0,24.0,13.0,173.0,99.0,31.0,42.0,,545.0,263.0,,3.0,39.0,186.0,15.0,3.0,35.0
2000,20751.0,20007.0,12733.0,4759.0,1700.0,31.0,362.0,363.0,,49.0,9.0,181.0,93.0,3.0,85.0,0.0,563.0,199.0,0.0,29.0,64.0,175.0,39.0,4.0,53.0
2001,21055.0,20297.0,13378.0,4315.0,1680.0,98.0,327.0,432.0,,19.0,47.0,168.0,129.0,4.0,35.0,0.0,590.0,185.0,0.0,10.0,84.0,226.0,57.0,6.0,22.0
2002,21042.0,20483.0,13371.0,4699.0,1691.0,119.0,196.0,367.0,5.0,25.0,10.0,146.0,98.0,7.0,41.0,0.0,413.0,122.0,0.0,17.0,105.0,126.0,37.0,,5.0
2003,22479.0,21821.0,14199.0,4939.0,1612.0,270.0,253.0,390.0,6.0,72.0,80.0,137.0,101.0,6.0,30.0,0.0,521.0,173.0,10.0,23.0,67.0,158.0,35.0,,53.0
2004,17100.0,16945.0,12829.0,3157.0,523.0,223.0,53.0,159.0,,0.0,86.0,86.0,80.0,0.0,6.0,0.0,69.0,38.0,0.0,0.0,13.0,,12.0,0.0,4.0
