,Criminal cases,Criminal prosecutions,Criminal convictions,Employer cases,Employer warnings,Employer notice of Intent to Fine,Employer final orders,Employer arrests,Fraud cases,Fraud prosecutions,Fraud convictions,Smuggling cases,Smugglers arrested,Smuggled aliens arrested,Smuggling prosecutions  ,Smuggling convictions,Inspection violation cases,Inspection violation arrests     
1992,38716.0,2027.0,1688.0,7053.0,840.0,1461.0,1063.0,8027.0,3428.0,532.0,494.0,7073.0,13454.0,38498.0,3030.0,,24048.0,6507.0
1993,45291.0,2041.0,1954.0,6237.0,758.0,1302.0,944.0,7630.0,4416.0,525.0,421.0,6955.0,11244.0,48017.0,2491.0,,23841.0,7375.0
1994,46236.0,2386.0,2172.0,6169.0,683.0,1063.0,836.0,7554.0,5800.0,308.0,225.0,4750.0,8787.0,53078.0,2029.0,,19364.0,8458.0
1995,45619.0,1965.0,1590.0,5283.0,550.0,1055.0,909.0,10014.0,6455.0,389.0,257.0,5358.0,8580.0,68203.0,2636.0,,23624.0,8793.0
1996,54065.0,1468.0,1254.0,5149.0,668.0,1019.0,808.0,14164.0,4369.0,613.0,339.0,2643.0,4699.0,43243.0,3360.0,2838.0,33138.0,15365.0
1997,74612.0,1436.0,1166.0,7537.0,733.0,862.0,777.0,17552.0,4843.0,332.0,190.0,1171.0,3381.0,35084.0,2287.0,1737.0,33910.0,13702.0
1998,87093.0,2195.0,1704.0,7788.0,642.0,1023.0,535.0,13914.0,4613.0,447.0,310.0,2033.0,2812.0,45128.0,1830.0,1183.0,25407.0,11337.0
1999,100044.0,2754.0,2409.0,3898.0,383.0,417.0,297.0,2849.0,4300.0,509.0,338.0,2043.0,4253.0,41364.0,1951.0,1199.0,27085.0,13879.0
2000,90519.0,3802.0,3022.0,1966.0,282.0,178.0,180.0,953.0,3733.0,483.0,259.0,3309.0,4139.0,46001.0,2618.0,1474.0,38311.0,14963.0
2001,89222.0,2962.0,2253.0,1595.0,169.0,100.0,78.0,418.0,3721.0,397.0,214.0,2885.0,3139.0,32429.0,2124.0,1174.0,25301.0,11162.0
