,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1266264.0,4278.0,1554.0,21530.0,2926.0,264677.0,12714.0,18700.0,2265.0,3775.0,155996.0,32202.0,7501.0,2377.0,52459.0,8125.0,4086.0,4280.0,5506.0,2693.0,1719.0,30204.0,35560.0,20911.0,18254.0,1480.0,6857.0,505.0,3795.0,14714.0,2990.0,65934.0,3805.0,180165.0,18989.0,649.0,16592.0,4591.0,9192.0,25958.0,4778.0,5292.0,1013.0,10042.0,89037.0,95.0,7080.0,5749.0,895.0,38488.0,23805.0,764.0,8341.0,376.0,1
Africa,117430.0,441.0,40.0,1804.0,143.0,9384.0,1843.0,1220.0,430.0,1240.0,3690.0,6241.0,53.0,170.0,3590.0,1153.0,729.0,553.0,760.0,207.0,511.0,8808.0,6281.0,1930.0,7308.0,107.0,1311.0,19.0,793.0,837.0,446.0,6333.0,105.0,11603.0,2759.0,219.0,4325.0,465.0,752.0,3944.0,1060.0,444.0,367.0,2511.0,8623.0,6.0,21.0,602.0,246.0,7157.0,3057.0,78.0,688.0,23.0,0
Asia,422333.0,1739.0,819.0,4628.0,959.0,121890.0,3460.0,4345.0,751.0,654.0,16807.0,10414.0,6323.0,533.0,17774.0,3090.0,1167.0,1540.0,1905.0,1274.0,527.0,9622.0,9755.0,10281.0,6479.0,704.0,2303.0,173.0,849.0,5256.0,936.0,21603.0,775.0,63159.0,5797.0,162.0,6174.0,1785.0,3095.0,10002.0,840.0,1492.0,213.0,3822.0,24601.0,46.0,2131.0,1228.0,243.0,14433.0,9600.0,345.0,3706.0,123.0,1
Europe,164285.0,648.0,293.0,2235.0,274.0,25822.0,2181.0,4312.0,271.0,485.0,12463.0,3941.0,378.0,504.0,14305.0,1281.0,631.0,388.0,839.0,306.0,361.0,2805.0,5945.0,4893.0,1965.0,183.0,1642.0,141.0,310.0,1500.0,679.0,9153.0,320.0,27754.0,2865.0,138.0,3160.0,452.0,2503.0,5207.0,424.0,1179.0,217.0,1209.0,5261.0,14.0,182.0,745.0,189.0,3471.0,6144.0,131.0,1506.0,80.0,0
North America,414096.0,1127.0,279.0,11948.0,1398.0,94350.0,4253.0,4256.0,646.0,1031.0,78267.0,8109.0,290.0,1014.0,14463.0,2098.0,1365.0,1571.0,1698.0,712.0,236.0,6238.0,8121.0,3193.0,1750.0,390.0,1176.0,116.0,1670.0,6198.0,519.0,14646.0,2405.0,51317.0,5575.0,100.0,1941.0,1588.0,2428.0,4894.0,1831.0,1369.0,187.0,1937.0,45644.0,15.0,3914.0,1828.0,150.0,7639.0,3910.0,137.0,2050.0,109.0,0
Oceania,7385.0,24.0,41.0,122.0,24.0,3001.0,160.0,85.0,4.0,26.0,292.0,147.0,266.0,31.0,136.0,49.0,38.0,19.0,30.0,12.0,10.0,68.0,117.0,78.0,51.0,8.0,65.0,17.0,11.0,117.0,17.0,151.0,20.0,503.0,106.0,3.0,81.0,28.0,121.0,113.0,12.0,31.0,3.0,71.0,270.0,0.0,20.0,211.0,16.0,104.0,377.0,7.0,55.0,16.0,0
South America,138001.0,283.0,78.0,753.0,122.0,9386.0,800.0,4454.0,160.0,327.0,44229.0,3251.0,181.0,122.0,2059.0,430.0,149.0,203.0,263.0,168.0,72.0,2589.0,5277.0,499.0,669.0,86.0,340.0,39.0,154.0,781.0,382.0,13953.0,176.0,25477.0,1847.0,26.0,843.0,263.0,285.0,1749.0,603.0,762.0,26.0,471.0,4497.0,14.0,800.0,1121.0,51.0,5634.0,686.0,66.0,320.0,25.0,0
Afghanistan,3417.0,7.0,0.0,79.0,0.0,987.0,69.0,34.0,5.0,3.0,63.0,73.0,0.0,19.0,75.0,25.0,16.0,,14.0,4.0,6.0,47.0,56.0,52.0,14.0,0.0,88.0,0.0,20.0,34.0,4.0,137.0,17.0,567.0,14.0,,12.0,0.0,17.0,89.0,,0.0,,22.0,117.0,0.0,0.0,27.0,0.0,538.0,46.0,0.0,14.0,0.0,0
Albania,7914.0,0.0,8.0,55.0,4.0,112.0,17.0,541.0,4.0,7.0,633.0,27.0,,3.0,470.0,13.0,4.0,,,,5.0,88.0,822.0,1206.0,10.0,3.0,69.0,,5.0,37.0,50.0,428.0,3.0,2211.0,33.0,0.0,171.0,4.0,10.0,494.0,6.0,23.0,0.0,18.0,95.0,0.0,0.0,7.0,,80.0,29.0,0.0,101.0,0.0,0
Algeria,1300.0,0.0,0.0,11.0,3.0,200.0,19.0,20.0,,12.0,85.0,23.0,,0.0,64.0,14.0,10.0,9.0,,8.0,,23.0,128.0,26.0,7.0,,6.0,0.0,3.0,3.0,3.0,59.0,3.0,188.0,31.0,0.0,39.0,6.0,10.0,76.0,7.0,6.0,,4.0,80.0,0.0,0.0,,,75.0,16.0,,12.0,,0
American Samoa,28.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0
Andorra,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Angola,272.0,0.0,,6.0,0.0,13.0,3.0,8.0,0.0,,35.0,6.0,0.0,0.0,21.0,,0.0,0.0,0.0,0.0,0.0,9.0,62.0,,,0.0,,0.0,0.0,3.0,0.0,21.0,0.0,9.0,7.0,0.0,,,3.0,10.0,,,0.0,0.0,27.0,0.0,,,0.0,11.0,,0.0,0.0,0.0,0
Anguilla,32.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,4.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antigua-Barbuda,570.0,,,0.0,,6.0,,10.0,,,66.0,16.0,,0.0,,0.0,0.0,0.0,0.0,,,21.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,263.0,14.0,0.0,0.0,,0.0,16.0,0.0,,,0.0,23.0,0.0,67.0,,0.0,4.0,,0.0,,0.0,0
Argentina,7327.0,16.0,,55.0,8.0,853.0,71.0,137.0,7.0,26.0,2997.0,85.0,22.0,12.0,128.0,39.0,19.0,11.0,14.0,12.0,5.0,104.0,139.0,33.0,34.0,7.0,38.0,,7.0,102.0,8.0,385.0,22.0,701.0,75.0,0.0,45.0,19.0,31.0,77.0,15.0,30.0,0.0,42.0,278.0,0.0,93.0,114.0,5.0,311.0,56.0,,35.0,0.0,0
Armenia,6317.0,0.0,0.0,16.0,0.0,5370.0,36.0,9.0,,7.0,66.0,9.0,,,30.0,4.0,,,6.0,0.0,,26.0,78.0,27.0,12.0,,8.0,0.0,,117.0,,75.0,,206.0,11.0,0.0,19.0,4.0,10.0,37.0,14.0,3.0,,4.0,25.0,0.0,0.0,13.0,,18.0,30.0,0.0,9.0,0.0,0
Aruba,51.0,0.0,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,11.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Australia,3249.0,16.0,8.0,69.0,16.0,691.0,97.0,51.0,3.0,20.0,177.0,110.0,40.0,13.0,101.0,39.0,31.0,10.0,22.0,4.0,8.0,50.0,78.0,56.0,33.0,5.0,36.0,10.0,7.0,53.0,9.0,116.0,11.0,405.0,74.0,3.0,54.0,20.0,37.0,95.0,7.0,22.0,,54.0,175.0,0.0,10.0,53.0,15.0,74.0,106.0,,40.0,11.0,0
Austria,524.0,5.0,,17.0,,99.0,7.0,8.0,,,53.0,13.0,16.0,,19.0,6.0,,0.0,4.0,,,9.0,18.0,18.0,9.0,0.0,4.0,0.0,,5.0,,21.0,5.0,69.0,12.0,0.0,12.0,4.0,,13.0,3.0,4.0,,,20.0,0.0,3.0,6.0,,14.0,7.0,0.0,,0.0,0
Azerbaijan,2371.0,,,15.0,,1084.0,27.0,8.0,,5.0,60.0,25.0,0.0,16.0,43.0,11.0,4.0,0.0,27.0,0.0,13.0,41.0,39.0,48.0,12.0,0.0,13.0,0.0,,4.0,4.0,34.0,0.0,458.0,32.0,0.0,12.0,9.0,18.0,55.0,7.0,,,5.0,56.0,0.0,0.0,20.0,11.0,32.0,102.0,0.0,11.0,0.0,0
Bahamas,847.0,5.0,0.0,7.0,,18.0,,3.0,,5.0,520.0,76.0,0.0,,7.0,0.0,0.0,,,0.0,0.0,19.0,11.0,5.0,3.0,0.0,,0.0,0.0,6.0,,13.0,0.0,43.0,21.0,0.0,6.0,,0.0,17.0,,4.0,0.0,9.0,15.0,0.0,6.0,3.0,0.0,7.0,,,,0.0,0
Bahrain,148.0,3.0,0.0,,0.0,12.0,,,0.0,0.0,10.0,19.0,0.0,0.0,9.0,,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,19.0,,0.0,0.0,3.0,,,,5.0,0.0,,14.0,0.0,,,0.0,15.0,,0.0,,0.0,0
Bangladesh,14644.0,49.0,7.0,86.0,11.0,1015.0,26.0,274.0,43.0,56.0,778.0,552.0,7.0,3.0,147.0,51.0,9.0,30.0,21.0,19.0,3.0,282.0,232.0,731.0,66.0,6.0,31.0,0.0,7.0,61.0,,921.0,,7180.0,60.0,6.0,96.0,41.0,22.0,352.0,,6.0,5.0,46.0,701.0,0.0,22.0,,,529.0,20.0,4.0,22.0,0.0,0
Barbados,959.0,,,,0.0,10.0,3.0,22.0,,,114.0,31.0,0.0,0.0,12.0,5.0,,0.0,0.0,3.0,0.0,22.0,60.0,4.0,0.0,0.0,,0.0,0.0,0.0,,59.0,0.0,513.0,14.0,0.0,3.0,,0.0,28.0,,4.0,0.0,,10.0,0.0,4.0,,0.0,22.0,,0.0,0.0,0.0,0
Belarus,3086.0,4.0,6.0,20.0,4.0,423.0,47.0,67.0,14.0,11.0,164.0,56.0,,10.0,179.0,14.0,6.0,4.0,4.0,7.0,11.0,59.0,172.0,37.0,164.0,3.0,24.0,11.0,13.0,13.0,9.0,131.0,6.0,655.0,55.0,,48.0,14.0,61.0,147.0,3.0,25.0,,9.0,35.0,0.0,,5.0,5.0,98.0,176.0,,51.0,0.0,0
Belgium,716.0,8.0,0.0,10.0,0.0,107.0,11.0,15.0,,7.0,68.0,22.0,0.0,5.0,24.0,,0.0,,4.0,9.0,6.0,28.0,25.0,9.0,8.0,0.0,6.0,3.0,3.0,13.0,4.0,26.0,4.0,116.0,10.0,0.0,14.0,,11.0,28.0,,3.0,0.0,5.0,50.0,0.0,,5.0,0.0,17.0,10.0,,10.0,,0
Belize,1252.0,,5.0,15.0,3.0,475.0,15.0,5.0,,,113.0,23.0,3.0,,121.0,5.0,0.0,3.0,4.0,,0.0,9.0,8.0,8.0,6.0,,,5.0,0.0,14.0,0.0,29.0,,201.0,7.0,0.0,12.0,5.0,,14.0,,,0.0,9.0,85.0,0.0,4.0,3.0,0.0,12.0,9.0,0.0,4.0,,0
Benin,275.0,5.0,0.0,6.0,0.0,11.0,4.0,7.0,0.0,3.0,8.0,11.0,0.0,0.0,32.0,16.0,4.0,,,0.0,0.0,34.0,6.0,6.0,7.0,0.0,,0.0,7.0,,0.0,8.0,,28.0,7.0,,4.0,0.0,,20.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,,11.0,7.0,0.0,,0.0,0
Bermuda,160.0,7.0,0.0,,0.0,8.0,,4.0,0.0,,34.0,18.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,4.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,9.0,0.0,17.0,6.0,0.0,3.0,0.0,,5.0,0.0,,0.0,7.0,,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,0
Bhutan,78.0,0.0,0.0,4.0,,19.0,,0.0,0.0,,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0
Bolivia,4025.0,6.0,4.0,16.0,4.0,253.0,12.0,27.0,3.0,23.0,455.0,41.0,6.0,4.0,33.0,9.0,4.0,,10.0,4.0,0.0,257.0,61.0,4.0,6.0,,5.0,,5.0,13.0,10.0,106.0,4.0,223.0,17.0,,9.0,9.0,5.0,18.0,90.0,16.0,,11.0,126.0,0.0,10.0,21.0,0.0,2050.0,12.0,5.0,9.0,,0
Bosnia-Herzegovina,3789.0,8.0,,150.0,0.0,148.0,48.0,123.0,0.0,,282.0,187.0,0.0,84.0,329.0,75.0,159.0,18.0,105.0,5.0,,31.0,53.0,131.0,46.0,3.0,431.0,0.0,42.0,61.0,46.0,54.0,,258.0,78.0,36.0,84.0,,27.0,111.0,4.0,4.0,17.0,64.0,171.0,0.0,,70.0,9.0,79.0,89.0,0.0,60.0,,0
Botswana,53.0,0.0,0.0,,0.0,8.0,0.0,0.0,0.0,,10.0,,,0.0,,,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,5.0,,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0
Brazil,17910.0,54.0,,130.0,19.0,1658.0,100.0,1092.0,19.0,41.0,4283.0,556.0,82.0,11.0,256.0,72.0,22.0,33.0,35.0,25.0,16.0,324.0,3141.0,180.0,68.0,10.0,54.0,7.0,27.0,125.0,155.0,1476.0,27.0,1581.0,203.0,6.0,137.0,29.0,58.0,234.0,104.0,86.0,8.0,62.0,588.0,,12.0,203.0,18.0,290.0,126.0,14.0,47.0,,0
British Virgin Islands,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,10.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Brunei,25.0,0.0,0.0,,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0
Bulgaria,4828.0,15.0,,91.0,15.0,602.0,80.0,69.0,24.0,12.0,354.0,218.0,9.0,,943.0,38.0,18.0,29.0,18.0,8.0,17.0,115.0,212.0,96.0,48.0,4.0,46.0,,,184.0,20.0,178.0,3.0,430.0,53.0,,79.0,20.0,29.0,137.0,11.0,62.0,4.0,32.0,140.0,,,22.0,,162.0,123.0,3.0,44.0,,0
Burkina Faso,222.0,3.0,0.0,,0.0,11.0,4.0,7.0,0.0,7.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,,,0.0,0.0,24.0,,,,0.0,0.0,0.0,4.0,0.0,0.0,11.0,0.0,58.0,6.0,0.0,15.0,,,12.0,,0.0,,3.0,6.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,,0.0,0
Burma,4562.0,8.0,6.0,81.0,3.0,1371.0,37.0,21.0,3.0,4.0,247.0,81.0,21.0,,84.0,246.0,8.0,17.0,22.0,10.0,,331.0,52.0,130.0,162.0,4.0,11.0,,27.0,20.0,,60.0,,748.0,106.0,,77.0,23.0,34.0,46.0,16.0,20.0,0.0,42.0,187.0,0.0,5.0,7.0,,99.0,48.0,3.0,22.0,0.0,0
Burundi,320.0,4.0,0.0,9.0,0.0,15.0,9.0,5.0,0.0,3.0,6.0,19.0,0.0,0.0,25.0,,8.0,0.0,0.0,0.0,,11.0,9.0,9.0,4.0,0.0,,0.0,,0.0,,,,44.0,4.0,0.0,26.0,3.0,4.0,9.0,,0.0,0.0,5.0,48.0,0.0,0.0,0.0,12.0,16.0,,0.0,,,0
