,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,702589.0,1946.0,831.0,9707.0,1133.0,152836.0,5526.0,7231.0,1187.0,1089.0,90846.0,19785.0,5276.0,980.0,30156.0,3885.0,805.0,2509.0,2049.0,1336.0,802.0,14465.0,22932.0,11675.0,9137.0,495.0,3711.0,225.0,1797.0,8202.0,2483.0,39801.0,1538.0,103870.0,12592.0,329.0,8796.0,2246.0,4332.0,15846.0,2266.0,2940.0,342.0,3334.0,37835.0,,2893.0,2740.0,569.0,20401.0,12762.0,390.0,3247.0,,8313
Africa,50397.0,156.0,26.0,528.0,55.0,4206.0,597.0,467.0,153.0,315.0,2083.0,3438.0,79.0,18.0,1383.0,376.0,47.0,170.0,176.0,79.0,188.0,3149.0,2852.0,760.0,3569.0,33.0,410.0,7.0,234.0,373.0,209.0,3017.0,48.0,5792.0,1754.0,66.0,1814.0,222.0,267.0,1632.0,452.0,286.0,120.0,608.0,2996.0,0.0,16.0,192.0,52.0,3012.0,1042.0,29.0,206.0,9.0,629
Asia,257125.0,983.0,419.0,2437.0,391.0,77511.0,1671.0,2138.0,492.0,197.0,10255.0,7950.0,3917.0,176.0,10745.0,1564.0,245.0,1110.0,759.0,660.0,236.0,5787.0,7585.0,6314.0,3262.0,272.0,1490.0,56.0,524.0,3179.0,814.0,15026.0,385.0,31154.0,4915.0,75.0,3380.0,961.0,1801.0,7198.0,410.0,1193.0,52.0,1488.0,14120.0,0.0,910.0,685.0,164.0,9704.0,5864.0,198.0,1383.0,38.0,2882
Europe,107459.0,326.0,159.0,1595.0,106.0,13246.0,1212.0,1967.0,155.0,175.0,8742.0,3028.0,266.0,349.0,8911.0,798.0,231.0,239.0,600.0,136.0,206.0,1687.0,4848.0,3190.0,1204.0,59.0,1085.0,72.0,231.0,1026.0,792.0,6705.0,200.0,21084.0,1998.0,124.0,2420.0,207.0,1087.0,3760.0,399.0,593.0,106.0,506.0,2721.0,,86.0,607.0,240.0,2323.0,3258.0,75.0,919.0,,1356
North America,223086.0,341.0,150.0,4760.0,525.0,51584.0,1754.0,1686.0,288.0,292.0,51108.0,4026.0,510.0,388.0,8113.0,985.0,266.0,871.0,405.0,366.0,147.0,2698.0,5837.0,1144.0,721.0,99.0,577.0,74.0,732.0,3228.0,480.0,8562.0,817.0,31858.0,2966.0,52.0,816.0,686.0,967.0,2428.0,765.0,529.0,56.0,564.0,16332.0,0.0,1622.0,860.0,92.0,3320.0,2076.0,62.0,637.0,65.0,2799
Oceania,3657.0,10.0,27.0,67.0,,1531.0,63.0,20.0,4.0,13.0,125.0,78.0,318.0,12.0,46.0,9.0,0.0,18.0,16.0,7.0,3.0,24.0,51.0,34.0,26.0,3.0,17.0,3.0,9.0,64.0,15.0,75.0,8.0,159.0,51.0,0.0,32.0,11.0,68.0,37.0,7.0,19.0,,19.0,136.0,0.0,13.0,91.0,0.0,62.0,205.0,3.0,10.0,4.0,29
South America,59985.0,126.0,48.0,311.0,48.0,4686.0,220.0,948.0,95.0,97.0,18404.0,1245.0,181.0,36.0,855.0,143.0,16.0,93.0,85.0,76.0,21.0,1112.0,1752.0,201.0,342.0,26.0,129.0,12.0,65.0,328.0,171.0,6402.0,76.0,13794.0,885.0,11.0,287.0,157.0,135.0,780.0,232.0,310.0,,140.0,1445.0,0.0,241.0,302.0,21.0,1950.0,305.0,23.0,82.0,,519
Afghanistan,2018.0,0.0,0.0,48.0,0.0,706.0,16.0,23.0,4.0,3.0,37.0,58.0,,10.0,29.0,22.0,0.0,10.0,,0.0,5.0,30.0,52.0,5.0,13.0,0.0,32.0,0.0,22.0,35.0,0.0,69.0,8.0,246.0,14.0,0.0,3.0,,13.0,31.0,3.0,,0.0,6.0,39.0,0.0,0.0,7.0,0.0,354.0,30.0,,5.0,0.0,24
Albania,3964.0,4.0,0.0,15.0,,32.0,8.0,233.0,,10.0,338.0,12.0,0.0,3.0,226.0,8.0,,8.0,3.0,0.0,7.0,41.0,526.0,525.0,,0.0,45.0,0.0,,19.0,35.0,197.0,,930.0,27.0,0.0,135.0,4.0,5.0,334.0,,30.0,0.0,10.0,48.0,0.0,,3.0,,50.0,8.0,,48.0,0.0,23
Algeria,825.0,3.0,,4.0,,120.0,7.0,11.0,,0.0,33.0,20.0,,0.0,39.0,,0.0,,,8.0,0.0,18.0,63.0,13.0,5.0,0.0,4.0,,0.0,6.0,12.0,55.0,0.0,170.0,29.0,0.0,15.0,,3.0,39.0,,,0.0,5.0,51.0,0.0,0.0,,,52.0,13.0,0.0,6.0,0.0,6
