,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,694193.0,2439.0,1115.0,12784.0,1559.0,151183.0,7805.0,8370.0,1470.0,1016.0,87309.0,17761.0,675.0,3450.0,1473.0,29133.0,4085.0,1840.0,2687.0,2778.0,2496.0,999.0,15790.0,22812.0,10414.0,11044.0,965.0,4175.0,297.0,1876.0,8519.0,1607.0,33826.0,2434.0,76603.0,11360.0,369.0,9326.0,2966.0,5657.0,16162.0,1692.0,2682.0,4033.0,420.0,5396.0,52927.0,1167.0,686.0,3595.0,431.0,13782.0,17317.0,348.0,4434.0,228.0,6426
Africa,69738.0,324.0,58.0,1032.0,88.0,5686.0,1131.0,660.0,345.0,375.0,2388.0,3253.0,,53.0,80.0,2333.0,592.0,357.0,392.0,431.0,186.0,410.0,5017.0,3733.0,812.0,5401.0,68.0,652.0,20.0,483.0,649.0,202.0,3338.0,65.0,5770.0,1839.0,118.0,2680.0,387.0,471.0,2591.0,,602.0,435.0,141.0,1337.0,5409.0,90.0,11.0,339.0,74.0,2697.0,2460.0,37.0,437.0,19.0,1174
Asia,249940.0,1101.0,595.0,3156.0,547.0,78467.0,2133.0,2327.0,514.0,189.0,9868.0,6177.0,623.0,2665.0,337.0,10616.0,1635.0,521.0,1029.0,1066.0,1122.0,255.0,5317.0,6619.0,5739.0,3429.0,492.0,1581.0,83.0,483.0,3412.0,542.0,12553.0,451.0,26220.0,3857.0,97.0,3467.0,1112.0,1974.0,6700.0,,460.0,1352.0,100.0,2073.0,17671.0,388.0,78.0,789.0,118.0,6039.0,7108.0,159.0,1995.0,,2425
Europe,82209.0,296.0,191.0,1377.0,113.0,10760.0,1324.0,2014.0,152.0,142.0,7103.0,1936.0,,221.0,253.0,7569.0,560.0,357.0,177.0,533.0,208.0,179.0,1383.0,3585.0,2308.0,915.0,85.0,1018.0,89.0,154.0,852.0,402.0,4656.0,230.0,11460.0,1490.0,83.0,1611.0,280.0,1288.0,2734.0,54.0,,649.0,98.0,608.0,2953.0,154.0,17.0,406.0,130.0,1349.0,3962.0,63.0,712.0,33.0,666
North America,217750.0,553.0,175.0,6709.0,722.0,49466.0,2662.0,1840.0,362.0,207.0,43350.0,4419.0,9.0,234.0,724.0,7326.0,1057.0,531.0,922.0,566.0,757.0,116.0,2828.0,5555.0,1225.0,885.0,236.0,662.0,74.0,679.0,3110.0,250.0,7313.0,1591.0,22819.0,2833.0,57.0,1015.0,951.0,1678.0,3076.0,1305.0,1049.0,965.0,68.0,1012.0,23755.0,388.0,555.0,1320.0,69.0,2096.0,3063.0,54.0,1064.0,92.0,1351
Oceania,3734.0,,36.0,60.0,8.0,1568.0,73.0,25.0,3.0,8.0,100.0,57.0,13.0,157.0,14.0,51.0,13.0,9.0,14.0,17.0,7.0,5.0,40.0,79.0,33.0,23.0,8.0,40.0,7.0,,57.0,13.0,46.0,13.0,134.0,47.0,,37.0,21.0,74.0,42.0,0.0,,32.0,3.0,19.0,172.0,39.0,4.0,124.0,5.0,68.0,257.0,,20.0,,24
South America,70485.0,,60.0,443.0,80.0,5195.0,480.0,1502.0,94.0,95.0,24473.0,1914.0,10.0,120.0,65.0,1209.0,222.0,64.0,151.0,159.0,204.0,34.0,1200.0,3241.0,277.0,390.0,76.0,212.0,24.0,,438.0,198.0,5914.0,84.0,10178.0,1276.0,,488.0,213.0,172.0,1018.0,279.0,319.0,599.0,10.0,337.0,2938.0,108.0,17.0,616.0,35.0,1522.0,463.0,,204.0,13.0,771
Afghanistan,1998.0,0.0,0.0,85.0,0.0,661.0,32.0,20.0,5.0,0.0,32.0,53.0,0.0,0.0,19.0,33.0,5.0,5.0,5.0,5.0,3.0,4.0,29.0,29.0,23.0,7.0,0.0,33.0,,20.0,12.0,3.0,48.0,11.0,261.0,10.0,0.0,9.0,,20.0,25.0,0.0,,5.0,,17.0,94.0,0.0,0.0,18.0,0.0,247.0,29.0,0.0,,0.0,74
Albania,4267.0,3.0,4.0,40.0,,65.0,8.0,233.0,5.0,,510.0,10.0,0.0,,,244.0,6.0,3.0,,4.0,,6.0,34.0,490.0,595.0,8.0,0.0,56.0,0.0,,21.0,16.0,211.0,3.0,1122.0,23.0,0.0,73.0,10.0,8.0,245.0,,0.0,7.0,0.0,13.0,41.0,0.0,0.0,3.0,0.0,41.0,15.0,,47.0,0.0,32
Algeria,773.0,,0.0,6.0,,104.0,12.0,8.0,0.0,,52.0,11.0,0.0,0.0,0.0,43.0,9.0,4.0,,,7.0,0.0,19.0,86.0,21.0,4.0,,,,0.0,6.0,,52.0,0.0,101.0,15.0,,27.0,,,52.0,0.0,8.0,3.0,0.0,3.0,45.0,,0.0,0.0,,19.0,17.0,0.0,6.0,,14
American Samoa,205.0,0.0,14.0,,0.0,45.0,,0.0,0.0,0.0,0.0,,0.0,37.0,0.0,0.0,,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,,,0.0,,0.0,,4.0,3.0,0.0,0.0,0.0,5.0,0.0,,8.0,11.0,0.0,11.0,0.0,12.0,30.0,0.0,0.0,0.0,1
