,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,779929.0,1811.0,1083.0,13165.0,1567.0,164792.0,6263.0,9253.0,1460.0,1854.0,101773.0,19534.0,691.0,3494.0,1305.0,27706.0,4369.0,2503.0,2761.0,3341.0,2543.0,988.0,17752.0,21404.0,12950.0,10526.0,973.0,4817.0,294.0,2418.0,8507.0,1589.0,41173.0,2371.0,107330.0,12150.0,532.0,10664.0,3487.0,5784.0,17813.0,2447.0,2816.0,4770.0,464.0,5004.0,57947.0,310.0,673.0,3026.0,496.0,22279.0,17589.0,443.0,4532.0,242.0,2101.0
Africa,71872.0,224.0,73.0,1136.0,79.0,5763.0,1039.0,676.0,296.0,657.0,2135.0,3513.0,,50.0,118.0,2187.0,654.0,551.0,377.0,655.0,181.0,319.0,5407.0,3297.0,879.0,4736.0,83.0,836.0,11.0,686.0,588.0,183.0,3594.0,78.0,6440.0,1811.0,208.0,3179.0,443.0,450.0,2689.0,4.0,535.0,599.0,178.0,1187.0,5687.0,27.0,,216.0,129.0,3943.0,2276.0,59.0,430.0,18.0,293.0
Asia,275700.0,844.0,550.0,3579.0,555.0,84764.0,1819.0,2493.0,559.0,342.0,9363.0,7011.0,640.0,2770.0,391.0,10862.0,1815.0,819.0,1191.0,1197.0,1107.0,312.0,6027.0,5780.0,7624.0,3467.0,478.0,1891.0,80.0,735.0,3490.0,558.0,13825.0,496.0,33351.0,4247.0,147.0,4103.0,1418.0,2153.0,7055.0,54.0,424.0,1530.0,136.0,1960.0,19663.0,88.0,82.0,843.0,134.0,9872.0,7917.0,202.0,2095.0,76.0,716.0
Europe,80333.0,200.0,177.0,1167.0,106.0,11455.0,1013.0,2001.0,124.0,237.0,6645.0,1958.0,17.0,208.0,233.0,6951.0,557.0,449.0,175.0,464.0,220.0,168.0,1405.0,3117.0,2440.0,914.0,90.0,1115.0,103.0,161.0,782.0,379.0,4584.0,201.0,11380.0,1473.0,82.0,1714.0,239.0,1162.0,2634.0,56.0,271.0,734.0,87.0,564.0,3017.0,18.0,18.0,332.0,113.0,1989.0,3564.0,58.0,725.0,38.0,249.0
North America,271807.0,417.0,175.0,6780.0,749.0,55702.0,1932.0,2414.0,372.0,454.0,59983.0,4946.0,10.0,198.0,504.0,6620.0,1092.0,594.0,886.0,851.0,805.0,142.0,3487.0,6241.0,1687.0,964.0,254.0,746.0,70.0,752.0,3162.0,300.0,11891.0,1481.0,41135.0,3325.0,64.0,1161.0,1143.0,1738.0,4287.0,2079.0,1310.0,1258.0,52.0,986.0,26097.0,125.0,550.0,981.0,94.0,3911.0,3013.0,82.0,1053.0,91.0,611.0
Oceania,3849.0,7.0,58.0,70.0,9.0,1527.0,73.0,25.0,,,126.0,73.0,17.0,142.0,11.0,63.0,,11.0,,12.0,15.0,10.0,,62.0,27.0,33.0,,,6.0,3.0,,14.0,49.0,13.0,155.0,56.0,6.0,24.0,,,,0.0,10.0,35.0,3.0,24.0,166.0,26.0,,,,,,,,3.0,20.0
South America,76167.0,119.0,50.0,430.0,69.0,5557.0,387.0,1644.0,,146.0,23505.0,2030.0,,126.0,48.0,1004.0,226.0,79.0,117.0,156.0,207.0,37.0,1391.0,2900.0,266.0,409.0,,201.0,24.0,81.0,433.0,155.0,7221.0,102.0,14864.0,1232.0,25.0,462.0,205.0,212.0,1115.0,254.0,266.0,611.0,8.0,277.0,3306.0,26.0,13.0,519.0,,2466.0,510.0,,209.0,16.0,207.0
Afghanistan,2074.0,4.0,0.0,61.0,0.0,682.0,24.0,18.0,5.0,,24.0,45.0,0.0,,23.0,14.0,6.0,7.0,11.0,6.0,7.0,7.0,30.0,16.0,13.0,8.0,0.0,27.0,,23.0,29.0,6.0,47.0,15.0,245.0,29.0,0.0,9.0,3.0,20.0,48.0,0.0,0.0,8.0,,24.0,67.0,0.0,0.0,9.0,0.0,368.0,56.0,0.0,12.0,3.0,9.0
Albania,3538.0,,3.0,23.0,0.0,54.0,9.0,184.0,4.0,,309.0,7.0,0.0,,3.0,191.0,7.0,,3.0,,,,31.0,349.0,612.0,,,39.0,,0.0,26.0,18.0,204.0,3.0,899.0,26.0,0.0,97.0,,5.0,239.0,0.0,3.0,19.0,0.0,9.0,26.0,0.0,0.0,5.0,,38.0,19.0,,48.0,,10.0
Algeria,841.0,,,8.0,0.0,136.0,8.0,9.0,,,39.0,15.0,0.0,,,33.0,9.0,4.0,5.0,5.0,10.0,,17.0,50.0,11.0,13.0,,6.0,0.0,,3.0,5.0,49.0,,111.0,26.0,0.0,44.0,,5.0,61.0,0.0,4.0,8.0,0.0,4.0,59.0,0.0,0.0,3.0,,44.0,11.0,0.0,9.0,,
