,Afghanistan,Africa,Albania,Algeria,Angola,Argentina,Armenia,Asia,Azerbaijan,Bahrain,Bangladesh,Belarus,Benin,Bhutan,Bosnia-Herzegovina,Bulgaria,Burkina Faso,Burma,Burundi,Cambodia,Cameroon,Caribbean,Central African Republic,Central America,Chad,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Cote d' Ivoire,Cote d'Ivoire,Croatia,Cuba,Czechoslovakia,Djibouti,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Europe,France,Gambia,"Gambia, The",Georgia,Ghana,Guinea,Haiti,Honduras,Hungary,India,Indonesia,Iran,Iraq,Israel,Jordan,Kazakhstan,Kenya,"Korea, North",Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Lithuania,Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mauritania,Moldova,Mozambique,Namibia,Nepal,Nicaragua,Nigeria,North America,Oceania,Other,Pakistan,Philippines,Poland,Romania,Russia,Rwanda,Senegal,Serbia and Montenegro,Sierra Leone,Slovakia,Slovenia,Somalia,South Africa,South America,South Sudan,Soviet Union,Sri Lanka,Sudan,Syria,Tajikistan,Tanzania,Thailand,Togo,Total,Tunisia,Turkmenistan,Uganda,Ukraine,Unknown,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1990,1594.0,3494.0,98.0,0.0,59.0,,,43360.0,,0.0,0.0,,10.0,,,332.0,0.0,3.0,,2166.0,3.0,4753.0,0.0,554.0,,52.0,0.0,79.0,0.0,0.0,0.0,,,4753.0,345.0,0.0,0.0,22.0,0.0,,,3228.0,56912.0,0.0,,0.0,,11.0,0.0,0.0,,274.0,0.0,0.0,3329.0,67.0,0.0,0.0,,0.0,,0.0,,8771.0,,0.0,0.0,3.0,,,,0.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,532.0,0.0,5307.0,,,0.0,0.0,1491.0,3650.0,,0.0,0.0,6.0,0.0,,,25.0,34.0,5.0,,50716.0,0.0,7.0,0.0,,0.0,0.0,0.0,109078.0,0.0,,27.0,,,,0.0,27378.0,0.0,0.0,0.0
1991,1480.0,4768.0,1363.0,0.0,21.0,0.0,,42279.0,,0.0,0.0,,0.0,,,585.0,0.0,14.0,0.0,38.0,0.0,3933.0,,93.0,0.0,,0.0,73.0,0.0,0.0,0.0,,,3933.0,158.0,0.0,0.0,6.0,0.0,,,3948.0,45516.0,0.0,,0.0,,0.0,0.0,0.0,,7.0,0.0,0.0,2692.0,842.0,0.0,0.0,,,,0.0,,9250.0,,0.0,5.0,,344.0,,,0.0,0.0,0.0,0.0,0.0,,12.0,0.0,0.0,87.0,0.0,4026.0,,0.0,0.0,0.0,290.0,4452.0,,,0.0,0.0,0.0,,,192.0,19.0,0.0,,38661.0,0.0,24.0,,,0.0,0.0,0.0,96589.0,0.0,,125.0,,,,0.0,27958.0,0.0,0.0,0.0
1992,1452.0,5492.0,1108.0,0.0,4.0,0.0,,41045.0,,0.0,0.0,,0.0,,0.0,126.0,0.0,,0.0,141.0,0.0,3774.0,0.0,3.0,0.0,,0.0,76.0,0.0,0.0,0.0,,0.0,3720.0,,0.0,0.0,,0.0,,,2972.0,64184.0,0.0,,0.0,0.0,0.0,0.0,54.0,,,0.0,0.0,1949.0,3442.0,0.0,0.0,,0.0,,0.0,,7315.0,,0.0,0.0,637.0,,,,0.0,0.0,0.0,0.0,0.0,,8.0,0.0,0.0,,0.0,3777.0,,0.0,0.0,0.0,134.0,1499.0,,,0.0,0.0,0.0,,0.0,1570.0,15.0,0.0,,61298.0,0.0,113.0,0.0,,0.0,0.0,0.0,114498.0,0.0,,93.0,,,,0.0,26690.0,0.0,0.0,0.0
1993,1233.0,6969.0,458.0,0.0,0.0,0.0,,45302.0,,0.0,0.0,,0.0,,1887.0,34.0,0.0,94.0,3.0,,0.0,4372.0,0.0,,0.0,0.0,,199.0,0.0,0.0,0.0,,0.0,3065.0,3.0,0.0,0.0,,0.0,0.0,,2765.0,51278.0,0.0,,0.0,0.0,,0.0,1307.0,,0.0,0.0,0.0,1161.0,4605.0,0.0,0.0,,0.0,,0.0,,6967.0,,0.0,0.0,961.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4374.0,,0.0,0.0,0.0,54.0,215.0,,7.0,0.0,0.0,0.0,,0.0,2753.0,8.0,3.0,,48627.0,0.0,244.0,,,0.0,0.0,0.0,107926.0,0.0,,24.0,,,,,31219.0,0.0,,0.0
1994,21.0,5861.0,171.0,0.0,6.0,0.0,,46457.0,,0.0,0.0,,0.0,,7088.0,,0.0,75.0,0.0,6.0,0.0,6436.0,0.0,,0.0,0.0,0.0,92.0,0.0,0.0,0.0,,0.0,2670.0,5.0,0.0,0.0,0.0,0.0,6.0,,328.0,50838.0,0.0,,0.0,0.0,5.0,0.0,3766.0,,,0.0,0.0,851.0,4984.0,0.0,0.0,,0.0,,0.0,,6272.0,,0.0,0.0,610.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,6437.0,,0.0,0.0,0.0,31.0,67.0,,31.0,0.0,0.0,0.0,,0.0,3555.0,0.0,0.0,,43470.0,0.0,1220.0,0.0,,0.0,0.0,0.0,109593.0,,,,,,,0.0,34248.0,0.0,0.0,0.0
1995,,4779.0,51.0,0.0,,0.0,,40420.0,,0.0,0.0,,0.0,,9870.0,3.0,0.0,36.0,8.0,,,7618.0,,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,,0.0,6133.0,0.0,0.0,0.0,0.0,0.0,0.0,,239.0,45703.0,0.0,,0.0,0.0,9.0,0.0,1485.0,,0.0,0.0,0.0,978.0,3482.0,0.0,0.0,,0.0,,0.0,,3675.0,,0.0,0.0,52.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,7618.0,,0.0,0.0,0.0,39.0,24.0,,88.0,0.0,0.0,48.0,,0.0,2506.0,0.0,0.0,,35716.0,0.0,1705.0,0.0,,0.0,0.0,25.0,98520.0,0.0,,10.0,,,,0.0,32244.0,0.0,0.0,0.0
1996,0.0,7502.0,23.0,0.0,,0.0,,22131.0,,0.0,0.0,,0.0,,12030.0,0.0,0.0,11.0,8.0,0.0,,3537.0,0.0,,0.0,,0.0,38.0,0.0,0.0,0.0,,0.0,3498.0,,0.0,0.0,0.0,0.0,14.0,,194.0,41617.0,0.0,,0.0,0.0,,0.0,39.0,,0.0,,0.0,1256.0,2528.0,0.0,0.0,,6.0,,0.0,,2201.0,,0.0,0.0,46.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,34.0,3539.0,,2.0,0.0,0.0,,16.0,,118.0,0.0,0.0,13.0,,0.0,6436.0,,2.0,,29536.0,0.0,575.0,0.0,,0.0,0.0,,74791.0,0.0,,10.0,,,,0.0,16130.0,0.0,4.0,0.0
1997,0.0,6069.0,9.0,0.0,0.0,0.0,,11771.0,,0.0,0.0,,0.0,,21357.0,0.0,,182.0,33.0,0.0,19.0,2986.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,0.0,0.0,,0.0,2911.0,0.0,16.0,0.0,0.0,0.0,7.0,,197.0,48450.0,0.0,,16.0,0.0,,0.0,75.0,,0.0,6.0,0.0,1305.0,2679.0,0.0,0.0,,0.0,,0.0,,939.0,,0.0,0.0,231.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,2986.0,,0.0,0.0,0.0,6.0,3.0,,100.0,0.0,3.0,57.0,,0.0,4974.0,,0.0,,27072.0,0.0,277.0,0.0,,0.0,0.0,30.0,69276.0,0.0,,9.0,,,,0.0,6660.0,0.0,0.0,0.0
1998,,6665.0,,0.0,0.0,0.0,,13669.0,,0.0,0.0,,0.0,,30906.0,0.0,0.0,186.0,24.0,0.0,15.0,1587.0,0.0,0.0,41.0,0.0,0.0,52.0,0.0,0.0,,,0.0,1587.0,0.0,15.0,0.0,0.0,0.0,9.0,,152.0,54260.0,0.0,,50.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1699.0,1407.0,0.0,0.0,,13.0,,0.0,,0.0,,0.0,0.0,1494.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,312.0,1587.0,,0.0,0.0,0.0,,0.0,,86.0,0.0,0.0,176.0,,0.0,2951.0,0.0,0.0,,23349.0,0.0,1252.0,0.0,,0.0,0.0,15.0,76181.0,3.0,,,,,,0.0,10288.0,0.0,0.0,0.0
1999,365.0,13048.0,8.0,12.0,0.0,0.0,35.0,14041.0,210.0,0.0,0.0,1008.0,0.0,,22699.0,0.0,0.0,295.0,223.0,0.0,9.0,2109.0,,0.0,22.0,,0.0,42.0,27.0,0.0,5.0,,1660.0,2018.0,0.0,8.0,0.0,0.0,0.0,32.0,71.0,1873.0,55877.0,0.0,,13.0,50.0,5.0,6.0,91.0,,0.0,0.0,26.0,1750.0,1955.0,0.0,0.0,412.0,,,0.0,140.0,19.0,167.0,0.0,0.0,2495.0,0.0,20.0,3.0,0.0,0.0,0.0,0.0,,1035.0,0.0,0.0,0.0,0.0,625.0,2109.0,,1.0,0.0,0.0,3.0,,4386.0,153.0,0.0,14280.0,675.0,,,4320.0,0.0,1.0,,194.0,5.0,2393.0,,9.0,,0.0,93.0,85076.0,0.0,16.0,12.0,8649.0,,818.0,0.0,9622.0,,0.0,0.0
