,Petitions filed,Total naturalized,Petitions denied
1990,233843,267586,6516
1991,206668,307394,6268
1992,342238,239664,19293
1993,521866,313590,39931
1994,543353,429123,40561
1995,959963,485720,46067
1996,1277403,1040991,229842
1997,1412712,596010,130676
1998,932957,461169,137395
1999,765346,837418,379993
2000,460916,886026,399670
2001,501643,606259,218326
2002,700649,572646,139779
2003,523370,462435,91599
2004,662796,537151,103339
2005,602972,604280,108247
2006,730642,702589,120722
2007,1382993,660477,89683
2008,525786,1046539,121283
2009,570442,743715,109813
2010,710544,619913,56994
2011,756008,694193,57065
2012,899162,757434,65874
2013,772623,779929,83112
