,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,1107126.0,3877.0,1534.0,20638.0,2997.0,238444.0,12741.0,12190.0,2295.0,2652.0,133445.0,27769.0,1305.0,6572.0,2766.0,42723.0,8028.0,3696.0,5344.0,5315.0,4011.0,1617.0,27062.0,30369.0,17947.0,15832.0,1679.0,7078.0,543.0,3668.0,11768.0,2466.0,53997.0,3509.0,143679.0,15174.0,662.0,14595.0,4306.0,9028.0,23646.0,3287.0,3735.0,4241.0,773.0,8348.0,89811.0,73.0,1044.0,6087.0,771.0,30257.0,23170.0,798.0,7306.0,458.0
Africa,105915.0,332.0,68.0,1711.0,116.0,7783.0,1799.0,1004.0,445.0,870.0,2786.0,5248.0,,49.0,240.0,3156.0,1148.0,599.0,583.0,985.0,280.0,740.0,8406.0,5543.0,1673.0,7659.0,148.0,1076.0,42.0,811.0,668.0,445.0,5144.0,112.0,11020.0,2411.0,259.0,4302.0,390.0,682.0,3989.0,,939.0,358.0,281.0,2167.0,7458.0,8.0,13.0,596.0,159.0,5526.0,2857.0,92.0,707.0,22.0
Asia,383608.0,1680.0,813.0,4417.0,902.0,111555.0,3385.0,3762.0,805.0,543.0,12287.0,8762.0,1269.0,5648.0,561.0,15259.0,2968.0,1242.0,1881.0,1490.0,1705.0,389.0,9203.0,9559.0,9454.0,4776.0,768.0,2897.0,186.0,894.0,3906.0,890.0,21182.0,679.0,54350.0,5259.0,197.0,5404.0,1519.0,3284.0,9287.0,149.0,654.0,1360.0,232.0,2954.0,24506.0,36.0,205.0,1440.0,202.0,13119.0,10267.0,361.0,2968.0,138.0
Europe,119138.0,507.0,267.0,1673.0,224.0,18496.0,1779.0,2444.0,224.0,411.0,8637.0,2972.0,13.0,276.0,535.0,8830.0,1082.0,397.0,372.0,831.0,448.0,243.0,2506.0,4420.0,3323.0,1170.0,158.0,1325.0,125.0,230.0,904.0,487.0,5855.0,261.0,19528.0,1927.0,102.0,2479.0,358.0,1779.0,4349.0,125.0,306.0,859.0,81.0,868.0,4944.0,11.0,25.0,664.0,260.0,3050.0,4606.0,144.0,1155.0,93.0
North America,393253.0,1074.0,275.0,12137.0,1624.0,91278.0,5069.0,2989.0,648.0,575.0,77304.0,7943.0,,243.0,1263.0,13634.0,2386.0,1335.0,2229.0,1743.0,1227.0,197.0,4892.0,7140.0,2981.0,1599.0,495.0,1416.0,145.0,1589.0,5730.0,424.0,12473.0,2333.0,40904.0,4128.0,81.0,1658.0,1789.0,2922.0,4612.0,2395.0,1399.0,1141.0,156.0,1906.0,48349.0,,778.0,2273.0,99.0,5274.0,4581.0,141.0,2088.0,172.0
Oceania,5263.0,25.0,51.0,83.0,11.0,1900.0,120.0,66.0,10.0,25.0,170.0,96.0,14.0,193.0,42.0,116.0,38.0,17.0,34.0,23.0,18.0,9.0,62.0,90.0,59.0,52.0,5.0,57.0,14.0,6.0,79.0,10.0,108.0,10.0,391.0,63.0,5.0,55.0,24.0,110.0,80.0,,10.0,15.0,,36.0,254.0,0.0,3.0,170.0,7.0,104.0,275.0,4.0,30.0,10.0
South America,98555.0,255.0,58.0,597.0,118.0,7200.0,578.0,1910.0,162.0,223.0,32062.0,2707.0,,161.0,121.0,1651.0,391.0,105.0,240.0,232.0,310.0,39.0,1944.0,3590.0,420.0,563.0,103.0,293.0,31.0,134.0,477.0,200.0,9182.0,110.0,17332.0,1357.0,18.0,651.0,215.0,243.0,1283.0,604.0,425.0,505.0,19.0,388.0,4210.0,,18.0,941.0,44.0,3151.0,564.0,54.0,339.0,22.0
Afghanistan,2813.0,6.0,0.0,94.0,,885.0,51.0,17.0,5.0,8.0,35.0,57.0,0.0,,24.0,50.0,22.0,8.0,17.0,26.0,7.0,,60.0,35.0,19.0,19.0,0.0,90.0,0.0,33.0,20.0,,52.0,12.0,291.0,17.0,,19.0,6.0,12.0,60.0,0.0,,11.0,3.0,37.0,131.0,,0.0,24.0,,443.0,78.0,,12.0,6.0
Albania,5754.0,3.0,,36.0,6.0,58.0,15.0,378.0,7.0,13.0,464.0,13.0,0.0,0.0,6.0,337.0,11.0,5.0,0.0,7.0,,13.0,34.0,640.0,781.0,5.0,7.0,68.0,0.0,,59.0,24.0,318.0,3.0,1580.0,24.0,0.0,161.0,6.0,5.0,405.0,,9.0,19.0,,19.0,95.0,0.0,0.0,6.0,,34.0,13.0,0.0,59.0,0.0
Algeria,1037.0,4.0,,9.0,0.0,157.0,9.0,18.0,,6.0,40.0,19.0,0.0,3.0,0.0,59.0,15.0,4.0,13.0,8.0,27.0,,19.0,80.0,24.0,14.0,0.0,,,,,4.0,44.0,0.0,149.0,21.0,,44.0,,,86.0,0.0,3.0,,,4.0,64.0,0.0,0.0,,0.0,58.0,7.0,,6.0,
