,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1062040.0,4063.0,1799.0,20333.0,2874.0,210591.0,13547.0,12577.0,2355.0,2724.0,109229.0,27015.0,1313.0,7296.0,2602.0,38325.0,8262.0,4624.0,5086.0,5403.0,4226.0,1467.0,25778.0,32236.0,18347.0,12389.0,1666.0,7048.0,511.0,4535.0,10449.0,2478.0,55547.0,3767.0,148426.0,17571.0,948.0,13857.0,4503.0,7694.0,25397.0,3288.0,3681.0,4216.0,1337.0,8279.0,94481.0,101.0,1379.0,6426.0,943.0,27767.0,23789.0,830.0,6245.0,420.0,0
Africa,100374.0,546.0,125.0,1502.0,142.0,7047.0,2126.0,1023.0,476.0,1001.0,2601.0,5031.0,3.0,47.0,285.0,3032.0,1140.0,781.0,656.0,926.0,371.0,384.0,7840.0,5578.0,1383.0,4804.0,109.0,1237.0,56.0,846.0,866.0,241.0,4976.0,149.0,9952.0,2549.0,233.0,3342.0,447.0,745.0,4078.0,16.0,763.0,394.0,450.0,1837.0,8459.0,,,582.0,160.0,5076.0,3123.0,109.0,665.0,48.0,0
Asia,451593.0,2000.0,1074.0,7554.0,1075.0,118087.0,5166.0,4223.0,1038.0,578.0,13409.0,11310.0,1291.0,6502.0,1162.0,17689.0,4290.0,2357.0,2220.0,2728.0,1920.0,601.0,10019.0,11242.0,11897.0,4740.0,824.0,3446.0,203.0,1840.0,4265.0,1461.0,21487.0,988.0,65901.0,7720.0,518.0,6868.0,1984.0,3735.0,12071.0,136.0,683.0,1590.0,609.0,3817.0,33039.0,51.0,523.0,2317.0,513.0,14155.0,13291.0,439.0,2820.0,127.0,0
Europe,83850.0,406.0,243.0,1157.0,167.0,11544.0,1304.0,2062.0,185.0,365.0,7325.0,1845.0,6.0,269.0,194.0,6799.0,654.0,280.0,256.0,339.0,379.0,212.0,1683.0,3498.0,2320.0,866.0,154.0,725.0,121.0,178.0,740.0,261.0,4773.0,216.0,13052.0,1622.0,68.0,1581.0,296.0,858.0,2839.0,111.0,226.0,691.0,86.0,573.0,3940.0,13.0,19.0,444.0,110.0,1942.0,2816.0,118.0,842.0,77.0,0
North America,333902.0,847.0,250.0,9565.0,1342.0,65317.0,4204.0,3276.0,510.0,565.0,61528.0,6197.0,5.0,197.0,832.0,9151.0,1805.0,1084.0,1735.0,1198.0,1204.0,184.0,4518.0,8502.0,2232.0,1386.0,472.0,1299.0,94.0,1533.0,4027.0,328.0,14798.0,2238.0,43782.0,4047.0,100.0,1414.0,1519.0,2017.0,5081.0,2558.0,1560.0,1014.0,159.0,1614.0,44174.0,9.0,805.0,1880.0,112.0,4109.0,3718.0,117.0,1551.0,139.0,0
Oceania,4980.0,30.0,46.0,79.0,12.0,1857.0,125.0,39.0,7.0,15.0,174.0,77.0,4.0,174.0,18.0,107.0,35.0,25.0,27.0,23.0,15.0,19.0,56.0,87.0,43.0,46.0,3.0,34.0,9.0,7.0,67.0,11.0,76.0,6.0,379.0,60.0,6.0,52.0,19.0,102.0,77.0,0.0,11.0,32.0,14.0,48.0,238.0,,,212.0,7.0,60.0,263.0,6.0,32.0,4.0,0
South America,86096.0,226.0,58.0,459.0,133.0,6542.0,610.0,1950.0,138.0,196.0,24083.0,2538.0,4.0,107.0,106.0,1428.0,321.0,93.0,190.0,184.0,294.0,66.0,1631.0,3311.0,425.0,535.0,98.0,279.0,28.0,127.0,481.0,174.0,9385.0,167.0,15254.0,1531.0,21.0,533.0,237.0,230.0,1208.0,462.0,437.0,492.0,18.0,373.0,4527.0,17.0,12.0,989.0,38.0,2401.0,568.0,40.0,316.0,25.0,0
Afghanistan,1648.0,7.0,0.0,49.0,0.0,552.0,18.0,19.0,,10.0,21.0,46.0,0.0,0.0,36.0,18.0,8.0,,3.0,3.0,,,22.0,12.0,6.0,8.0,4.0,19.0,0.0,12.0,19.0,,46.0,6.0,183.0,23.0,6.0,17.0,,5.0,56.0,0.0,,,,7.0,80.0,0.0,0.0,24.0,0.0,254.0,33.0,0.0,,,0
Albania,3612.0,0.0,,27.0,,65.0,3.0,254.0,3.0,6.0,305.0,19.0,0.0,0.0,11.0,171.0,13.0,5.0,,4.0,5.0,7.0,37.0,393.0,506.0,10.0,0.0,25.0,,4.0,17.0,21.0,177.0,0.0,939.0,16.0,,100.0,,3.0,233.0,0.0,,15.0,,7.0,74.0,0.0,0.0,6.0,,42.0,31.0,,44.0,0.0,0
Algeria,1364.0,,0.0,4.0,,259.0,21.0,14.0,,,41.0,21.0,0.0,,,69.0,17.0,6.0,23.0,7.0,12.0,,22.0,94.0,24.0,4.0,0.0,11.0,0.0,0.0,,,66.0,3.0,198.0,27.0,0.0,41.0,3.0,3.0,171.0,,,5.0,,6.0,70.0,0.0,0.0,0.0,0.0,80.0,9.0,,12.0,3.0,0
