,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,619913.0,2027.0,831.0,10340.0,1275.0,129354.0,7165.0,7452.0,1829.0,1319.0,67484.0,18253.0,644.0,3190.0,1102.0,26180.0,3866.0,1858.0,2492.0,2398.0,2423.0,839.0,16220.0,21095.0,11162.0,9020.0,967.0,4388.0,259.0,1590.0,6791.0,1670.0,33864.0,2205.0,67972.0,9988.0,286.0,8617.0,2678.0,4910.0,16143.0,1318.0,2078.0,3081.0,399.0,4229.0,49699.0,41.0,549.0,2908.0,407.0,17815.0,16830.0,550.0,3864.0,229.0,3770
Africa,64023.0,202.0,67.0,942.0,64.0,5480.0,1083.0,600.0,345.0,485.0,2206.0,3657.0,,91.0,74.0,2022.0,583.0,319.0,325.0,363.0,198.0,250.0,4945.0,3167.0,850.0,4309.0,70.0,655.0,12.0,371.0,617.0,189.0,3266.0,79.0,4881.0,1529.0,82.0,2220.0,301.0,393.0,2546.0,7.0,487.0,348.0,129.0,1090.0,5238.0,4.0,,218.0,76.0,3447.0,2186.0,86.0,381.0,,473
Asia,251598.0,1037.0,395.0,3202.0,531.0,74328.0,2178.0,2371.0,810.0,211.0,9142.0,7079.0,563.0,2252.0,234.0,10780.0,1659.0,663.0,1039.0,960.0,1178.0,274.0,6071.0,7225.0,6424.0,2889.0,480.0,1939.0,59.0,492.0,2925.0,672.0,14194.0,509.0,24931.0,4002.0,105.0,3616.0,1184.0,1989.0,7304.0,70.0,400.0,1342.0,136.0,1793.0,19631.0,12.0,55.0,759.0,114.0,8302.0,7680.0,272.0,1807.0,54.0,1275
Europe,77951.0,232.0,173.0,1259.0,100.0,9987.0,1299.0,1900.0,198.0,210.0,6063.0,1950.0,,235.0,235.0,6969.0,521.0,375.0,194.0,441.0,194.0,156.0,1368.0,3557.0,2446.0,780.0,94.0,978.0,83.0,134.0,789.0,352.0,4609.0,215.0,11190.0,1231.0,62.0,1618.0,235.0,1041.0,2840.0,50.0,249.0,461.0,74.0,468.0,3037.0,,18.0,377.0,121.0,1759.0,3627.0,75.0,717.0,47.0,542
North America,163888.0,418.0,115.0,4500.0,537.0,33706.0,2107.0,1468.0,373.0,289.0,31071.0,3751.0,34.0,279.0,488.0,5298.0,851.0,432.0,787.0,455.0,667.0,112.0,2642.0,4367.0,1129.0,695.0,243.0,590.0,68.0,521.0,2081.0,242.0,6526.0,1297.0,18117.0,2127.0,27.0,751.0,727.0,1267.0,2558.0,937.0,699.0,544.0,42.0,656.0,18657.0,14.0,456.0,958.0,66.0,2563.0,2593.0,75.0,743.0,104.0,1068
Oceania,3646.0,6.0,38.0,52.0,4.0,1491.0,95.0,25.0,3.0,11.0,98.0,52.0,14.0,205.0,12.0,50.0,16.0,6.0,16.0,18.0,9.0,10.0,46.0,59.0,30.0,17.0,9.0,25.0,5.0,,46.0,12.0,54.0,16.0,131.0,51.0,,17.0,20.0,77.0,32.0,0.0,11.0,22.0,0.0,20.0,170.0,,,115.0,3.0,105.0,261.0,4.0,20.0,,26
South America,58481.0,129.0,43.0,381.0,38.0,4309.0,400.0,1088.0,100.0,112.0,18877.0,1762.0,15.0,128.0,59.0,1031.0,227.0,63.0,127.0,160.0,170.0,37.0,1146.0,2719.0,267.0,328.0,69.0,197.0,32.0,,330.0,202.0,5201.0,88.0,8707.0,1039.0,,368.0,208.0,143.0,861.0,250.0,231.0,363.0,18.0,195.0,2932.0,7.0,13.0,479.0,27.0,1630.0,479.0,38.0,192.0,15.0,376
Afghanistan,2230.0,0.0,0.0,54.0,0.0,749.0,25.0,23.0,3.0,,37.0,49.0,0.0,0.0,18.0,60.0,10.0,8.0,7.0,8.0,4.0,11.0,25.0,35.0,26.0,12.0,0.0,65.0,0.0,10.0,16.0,,68.0,10.0,293.0,8.0,0.0,8.0,,17.0,45.0,0.0,0.0,13.0,4.0,18.0,93.0,0.0,0.0,25.0,0.0,309.0,28.0,7.0,7.0,0.0,18
Albania,5088.0,,3.0,46.0,,97.0,3.0,284.0,7.0,8.0,402.0,26.0,0.0,,,290.0,7.0,0.0,7.0,,0.0,10.0,64.0,625.0,618.0,7.0,,55.0,0.0,5.0,25.0,20.0,242.0,,1368.0,38.0,0.0,107.0,,6.0,400.0,0.0,5.0,26.0,0.0,26.0,86.0,0.0,,6.0,0.0,66.0,21.0,0.0,51.0,0.0,18
Algeria,808.0,,0.0,6.0,0.0,147.0,10.0,6.0,,4.0,43.0,14.0,0.0,0.0,,53.0,7.0,0.0,,3.0,7.0,0.0,14.0,90.0,24.0,5.0,0.0,4.0,0.0,,3.0,,52.0,,104.0,12.0,0.0,22.0,,5.0,41.0,0.0,3.0,,0.0,0.0,54.0,0.0,0.0,0.0,0.0,39.0,17.0,0.0,6.0,0.0,2
American Samoa,232.0,0.0,18.0,,0.0,28.0,4.0,,0.0,0.0,,4.0,,87.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,3.0,,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,7.0,0.0,0.0,0.0,,0.0,0.0,13.0,0.0,,9.0,0.0,7.0,25.0,0.0,0.0,0.0,3
Angola,135.0,0.0,0.0,3.0,0.0,8.0,,,0.0,,15.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,,0.0,7.0,23.0,,0.0,0.0,0.0,0.0,3.0,,0.0,19.0,0.0,5.0,,0.0,,,0.0,5.0,0.0,5.0,,0.0,,13.0,0.0,0.0,,0.0,4.0,,0.0,,0.0,0
