,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Other,Unknown  
1986,280623.0,664.0,577.0,3121.0,605.0,105284.0,2490.0,3650.0,258.0,817.0,20366.0,1834.0,1274.0,4760.0,288.0,18606.0,1275.0,715.0,1226.0,675.0,2575.0,318.0,5116.0,6187.0,3758.0,2295.0,381.0,1314.0,161.0,555.0,1254.0,344.0,6483.0,751.0,39571.0,1702.0,165.0,3373.0,1284.0,1473.0,4117.0,653.0,1476.0,558.0,168.0,1033.0,13439.0,1335.0,223.0,4892.0,2684.0,235.0,1462.0,143.0,235.0,425.0
1987,227008.0,506.0,509.0,2788.0,540.0,82607.0,1878.0,2589.0,329.0,385.0,8041.0,1856.0,1156.0,4070.0,199.0,9809.0,807.0,229.0,1268.0,630.0,1406.0,354.0,4180.0,5219.0,3869.0,1623.0,239.0,1493.0,91.0,167.0,1302.0,295.0,15054.0,4.0,32320.0,1208.0,137.0,3439.0,571.0,1335.0,6663.0,270.0,1310.0,484.0,69.0,911.0,13266.0,875.0,120.0,3335.0,3261.0,241.0,829.0,67.0,454.0,351.0
1988,242063.0,646.0,622.0,2136.0,417.0,65397.0,2252.0,3209.0,347.0,696.0,15589.0,2104.0,1297.0,3763.0,230.0,6330.0,1148.0,454.0,1360.0,438.0,2115.0,214.0,3578.0,4640.0,3764.0,1107.0,259.0,1226.0,127.0,403.0,1228.0,253.0,23728.0,930.0,38457.0,1609.0,212.0,2853.0,1793.0,1566.0,5900.0,1705.0,1219.0,1112.0,96.0,1004.0,18625.0,1152.0,233.0,5000.0,4915.0,267.0,1406.0,119.0,738.0,75.0
1989,233777.0,653.0,490.0,2562.0,374.0,50286.0,2535.0,3938.0,365.0,832.0,14216.0,3235.0,1469.0,6426.0,122.0,13761.0,806.0,655.0,1119.0,572.0,1847.0,377.0,3884.0,5928.0,2588.0,2045.0,423.0,1370.0,45.0,402.0,1382.0,399.0,15859.0,924.0,41922.0,1644.0,186.0,2651.0,1300.0,1985.0,5606.0,1061.0,1025.0,1028.0,144.0,1015.0,17372.0,787.0,115.0,6799.0,4485.0,199.0,940.0,84.0,1433.0,107.0
1990,270101.0,590.0,607.0,2152.0,388.0,61736.0,1414.0,3895.0,301.0,613.0,22978.0,2952.0,1146.0,5077.0,481.0,19868.0,1085.0,609.0,899.0,514.0,1882.0,342.0,5114.0,5923.0,5295.0,2126.0,301.0,1267.0,197.0,376.0,1209.0,300.0,17969.0,820.0,44619.0,1362.0,132.0,3037.0,1167.0,1736.0,4218.0,1054.0,1970.0,761.0,87.0,1002.0,24529.0,866.0,175.0,5606.0,3519.0,176.0,477.0,72.0,180.0,2930.0
1991,308058.0,798.0,463.0,2090.0,413.0,125661.0,2004.0,4221.0,310.0,569.0,23281.0,3414.0,1318.0,3955.0,247.0,11637.0,1014.0,489.0,681.0,338.0,1145.0,280.0,3663.0,4810.0,4282.0,1862.0,300.0,890.0,87.0,339.0,1026.0,303.0,15052.0,386.0,44808.0,1856.0,163.0,3184.0,1458.0,1867.0,4323.0,853.0,927.0,713.0,117.0,1043.0,16266.0,585.0,200.0,5353.0,3289.0,261.0,1499.0,57.0,1466.0,442.0
1992,240252.0,598.0,793.0,3037.0,380.0,52411.0,1402.0,5070.0,289.0,786.0,21129.0,2299.0,987.0,4475.0,208.0,10891.0,1323.0,374.0,911.0,567.0,1709.0,400.0,4620.0,7381.0,2616.0,1850.0,315.0,1453.0,127.0,432.0,1533.0,357.0,16598.0,495.0,43447.0,2172.0,119.0,2669.0,876.0,1994.0,3839.0,1947.0,1043.0,670.0,62.0,979.0,17631.0,649.0,219.0,4662.0,4307.0,137.0,681.0,50.0,562.0,3721.0
1993,314681.0,719.0,530.0,2548.0,405.0,68100.0,2732.0,6125.0,423.0,773.0,26628.0,4185.0,1131.0,4960.0,255.0,17394.0,1395.0,578.0,1085.0,534.0,2016.0,584.0,9864.0,6574.0,6091.0,1921.0,426.0,1379.0,165.0,4411.0,1518.0,387.0,18495.0,665.0,55519.0,2397.0,159.0,3382.0,1092.0,2146.0,7236.0,1852.0,1720.0,675.0,85.0,1039.0,26403.0,950.0,221.0,7141.0,5741.0,205.0,6.0,43.0,784.0,889.0
1994,434107.0,954.0,648.0,3894.0,615.0,118567.0,3171.0,5460.0,695.0,1091.0,35186.0,5437.0,1445.0,4659.0,299.0,17946.0,1738.0,837.0,1059.0,775.0,1667.0,473.0,9572.0,14739.0,7798.0,2528.0,385.0,1236.0,81.0,4147.0,1937.0,926.0,24587.0,697.0,67282.0,2089.0,137.0,4432.0,1286.0,2475.0,9644.0,1484.0,2302.0,1387.0,114.0,1364.0,25148.0,1163.0,369.0,7103.0,6878.0,229.0,17.0,86.0,1150.0,22719.0
1995,488088.0,860.0,675.0,4059.0,163.0,171285.0,3753.0,6409.0,600.0,1496.0,31372.0,5418.0,1464.0,5174.0,336.0,20694.0,1430.0,970.0,1131.0,677.0,2714.0,639.0,11251.0,11803.0,8170.0,760.0,393.0,1440.0,117.0,2999.0,2894.0,559.0,28770.0,643.0,68611.0,2073.0,192.0,3263.0,1806.0,1810.0,9665.0,4.0,1535.0,1032.0,103.0,634.0,32209.0,1417.0,523.0,10542.0,11063.0,318.0,874.0,127.0,1257.0,7912.0
1996,1044689.0,1002.0,4.0,6838.0,6.0,378014.0,5168.0,8122.0,650.0,1920.0,123368.0,6603.0,,6090.0,,48746.0,678.0,5.0,7.0,10.0,3247.0,41.0,1259.0,14762.0,12658.0,6.0,410.0,14.0,,4.0,24.0,489.0,44351.0,5.0,169428.0,11.0,0.0,5106.0,8.0,23.0,9652.0,3.0,,713.0,,14.0,57970.0,22.0,9.0,13724.0,12228.0,3.0,5.0,127.0,0.0,111133.0
1997,598225.0,644.0,757.0,3767.0,809.0,187432.0,3560.0,8452.0,464.0,1098.0,28768.0,5958.0,1458.0,3994.0,769.0,28096.0,2388.0,244.0,1733.0,1074.0,2415.0,343.0,3691.0,8158.0,5766.0,3296.0,442.0,2226.0,165.0,259.0,7963.0,430.0,32406.0,511.0,95595.0,2873.0,188.0,4447.0,1168.0,1464.0,7327.0,368.0,2951.0,1086.0,173.0,1275.0,39172.0,2850.0,321.0,6803.0,14668.0,218.0,1371.0,145.0,960.0,63266.0
1998,463060.0,658.0,995.0,4105.0,244.0,154793.0,3230.0,7351.0,648.0,1024.0,30926.0,6274.0,1117.0,4493.0,853.0,16804.0,2404.0,191.0,2208.0,586.0,2478.0,544.0,9615.0,10568.0,7100.0,4331.0,378.0,2156.0,165.0,717.0,4414.0,645.0,21301.0,649.0,47456.0,3463.0,166.0,5859.0,613.0,2307.0,9997.0,1650.0,2642.0,1334.0,159.0,1255.0,30862.0,1421.0,360.0,8589.0,12991.0,265.0,1894.0,121.0,1867.0,23824.0
