,Processed,Total Located,Mexican aliens located,Mexican Aliens working in agriculture located,Mexican aliens working in trades located,Mexican aliens seeking employment located,Canadian aliens located,All others located,Alien smugglers Located,Smuggled aliens located,Seizures (conveyances),Total Value of seizures,Narcotics value,Other value
1992,1221904,1199560,1168946,5488,7165,1065159,6167,24447,17237,69538,11391,1266000000,1217000000,49000000
1993,1281721,1263490,1230124,5393,7403,1117414,5249,28117,15266,80835,10995,1384000000,1338000000,46000000
1994,1046576,1031668,999890,5162,8068,901826,3401,28377,14143,92934,9134,1622203679,1579596359,42607320
1995,1336518,1324202,1293508,4487,12552,1185761,3463,27231,12796,102591,9327,2011767972,1965311238,46456734
1996,1561234,1549876,1523141,2684,9413,1405314,2746,23989,13458,122233,11129,1256032172,1208778533,47253639
1997,1422829,1412953,1387650,3521,10146,1279923,2935,22368,12523,124605,11792,1094929268,1046292774,48636494
1998,1566984,1555776,1522918,3270,6616,1398892,2329,30529,13908,174514,14401,1404892001,1340464683,64427318
1999,1591969,1579010,1534515,1599,2383,1422970,2724,41771,15755,221522,16803,2004455498,1918893835,85561663
2000,1689195,1676438,1636883,1330,2167,1525422,2211,37344,14406,236782,17269,1945140947,1848174037,96966910
2001,1277576,1266213,1224046,1248,2678,1107550,2539,39628,8720,112927,5892,1581422201,1519437113,61985088
