,Total,Europe,Austria-Hungary,Austria,Hungary ,Belgium,Czechoslovakia ,Denmark,France,Germany,Greece,Ireland 5 ,Italy,Netherlands,Norway-Sweden,Norway,Sweden,Poland ,Portugal,Romania,Soviet Union ,Spain,Switzerland,United Kingdom,Yugoslavia ,Other Europe,Asia ,China,Hong Kong ,India ,Iran ,Israel ,Japan,Korea,Philippines,Turkey,Vietnam,Other Asia,America,Canada & Newfoundland,Mexico,Caribbean,Cuba,Dominican Republic,Haiti,Jamaica,Other Caribbean,Central America,El Salvador,Other Central America,South America,Argentina,Columbia,Ecuador,Other South America,Other America,Africa,Oceania ,Unknown
1820,8385.0,7690.0,,,,1.0,,20.0,371.0,968.0,0.0,3614.0,30.0,49.0,3.0,,,5.0,35.0,,14.0,139.0,31.0,2410.0,,0.0,6.0,1.0,,1.0,,,,,,1.0,,3.0,387.0,209.0,1.0,164.0,,,,,164.0,2.0,,2.0,11.0,,,,11.0,,1.0,1.0,300.0
1821-30,143439.0,98797.0,,,,27.0,,169.0,8497.0,6761.0,20.0,50724.0,409.0,1078.0,91.0,,,16.0,145.0,,75.0,2477.0,3226.0,25079.0,,3.0,30.0,2.0,,8.0,,,,,,20.0,,0.0,11564.0,2277.0,4817.0,3834.0,,,,,3834.0,105.0,,105.0,531.0,,,,531.0,,16.0,2.0,33030.0
1831-40,599125.0,495681.0,,,,22.0,,1063.0,45575.0,152454.0,49.0,207381.0,2253.0,1412.0,1201.0,,,369.0,829.0,,277.0,2125.0,4821.0,75810.0,,40.0,55.0,8.0,,39.0,,,,,,7.0,,1.0,33424.0,13624.0,6599.0,12301.0,,,,,12301.0,44.0,,44.0,856.0,,,,856.0,,54.0,9.0,69902.0
1841-50,1713251.0,1597442.0,,,,5074.0,,539.0,77262.0,434626.0,16.0,780719.0,1870.0,8251.0,13903.0,,,105.0,550.0,,551.0,2209.0,4644.0,267044.0,,79.0,141.0,35.0,,36.0,,,,,,59.0,,11.0,62469.0,41723.0,3271.0,13528.0,,,,,13528.0,368.0,,368.0,3579.0,,,,3579.0,,55.0,29.0,53115.0
1851-60,2598214.0,2452577.0,,,,4738.0,,3749.0,76358.0,951667.0,31.0,914119.0,9231.0,10789.0,20931.0,,,1164.0,1055.0,,457.0,9298.0,25011.0,423974.0,,5.0,41538.0,41397.0,,43.0,,,,,,83.0,,15.0,74720.0,59309.0,3078.0,10660.0,,,,,10660.0,449.0,,449.0,1224.0,,,,1224.0,,210.0,158.0,29011.0
1861-70,2314824.0,2065141.0,7800.0,7124.0,484.0,6734.0,,17094.0,35986.0,787468.0,72.0,435778.0,11725.0,9102.0,109298.0,,,2027.0,2658.0,,2512.0,6697.0,23286.0,606896.0,,8.0,64759.0,64301.0,,69.0,,,186.0,,,131.0,,72.0,166607.0,153878.0,2191.0,9046.0,,,,,9046.0,95.0,,95.0,1397.0,,,,1397.0,,312.0,214.0,17791.0
1871-80,2812191.0,2271925.0,72969.0,63009.0,9960.0,7221.0,,31771.0,72206.0,718182.0,210.0,436871.0,55759.0,16541.0,211245.0,95323.0,115922.0,12970.0,14082.0,11.0,39284.0,5266.0,28293.0,548043.0,,1001.0,124160.0,123201.0,,163.0,,,149.0,,,404.0,,243.0,404044.0,383640.0,5162.0,13957.0,,,,,13957.0,157.0,,157.0,1128.0,,,,1128.0,,358.0,10914.0,790.0
1881-90,5246613.0,4735484.0,353719.0,226038.0,127681.0,20177.0,,88132.0,50464.0,1452970.0,2308.0,655482.0,307309.0,53701.0,568362.0,176586.0,391776.0,51806.0,16978.0,6348.0,213282.0,4419.0,81988.0,807357.0,,682.0,69942.0,61711.0,,269.0,,,2270.0,,,3782.0,,1910.0,426967.0,393304.0,1913.0,29042.0,,,,,29042.0,404.0,,404.0,2304.0,,,,2304.0,,857.0,12574.0,789.0
1891-1900,3687564.0,3555352.0,592707.0,234081.0,181288.0,18167.0,,50231.0,30770.0,505152.0,15979.0,388416.0,651893.0,26758.0,321281.0,95015.0,226266.0,96720.0,27508.0,12750.0,505290.0,8731.0,31179.0,271538.0,,282.0,74862.0,14799.0,,68.0,,,25942.0,,,30425.0,,3628.0,38972.0,3311.0,971.0,33066.0,,,,,33066.0,549.0,,549.0,1075.0,,,,1075.0,,350.0,3965.0,14063.0
1901-10,8795386.0,8056040.0,2145266.0,668209.0,808511.0,41635.0,,65285.0,73379.0,341498.0,167519.0,339065.0,2045877.0,48262.0,440039.0,190505.0,249534.0,23.0,69149.0,53008.0,1597306.0,27935.0,34922.0,525950.0,,39945.0,323543.0,20605.0,,4713.0,,,129797.0,,,157369.0,,11059.0,361888.0,179226.0,49642.0,107548.0,,,,,107548.0,8192.0,,8192.0,17280.0,,,,17280.0,,7368.0,13024.0,33523.0
