,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,990553.0,3848.0,1460.0,16097.0,2900.0,191806.0,11108.0,10985.0,2325.0,2981.0,102939.0,24387.0,1210.0,6226.0,2120.0,35988.0,7668.0,4105.0,5000.0,5159.0,4355.0,1208.0,25361.0,29482.0,16952.0,12781.0,1716.0,6345.0,445.0,4141.0,9886.0,2227.0,53082.0,3664.0,133601.0,16798.0,1234.0,13819.0,4648.0,7171.0,24720.0,2942.0,3337.0,4266.0,1231.0,8380.0,92674.0,112.0,1267.0,5503.0,838.0,27861.0,22994.0,760.0,5918.0,522.0
Africa,98304.0,456.0,107.0,1102.0,169.0,7321.0,1846.0,860.0,459.0,1106.0,2730.0,4268.0,,56.0,190.0,3027.0,1177.0,742.0,674.0,926.0,344.0,399.0,7824.0,5037.0,1439.0,4672.0,154.0,1051.0,35.0,670.0,813.0,212.0,5387.0,136.0,10486.0,2419.0,293.0,3304.0,545.0,603.0,3703.0,15.0,707.0,400.0,271.0,1926.0,8901.0,13.0,,515.0,65.0,5002.0,2940.0,117.0,627.0,54.0
Asia,400548.0,1877.0,888.0,4900.0,1109.0,102464.0,3899.0,3568.0,959.0,732.0,13023.0,10369.0,1176.0,5437.0,762.0,15863.0,3818.0,1799.0,2100.0,2307.0,1866.0,395.0,9615.0,9797.0,10687.0,5017.0,857.0,3152.0,180.0,1657.0,3829.0,1156.0,19533.0,936.0,54065.0,7136.0,687.0,6901.0,2034.0,3217.0,11554.0,113.0,592.0,1693.0,728.0,3739.0,30819.0,64.0,456.0,1782.0,475.0,13435.0,11993.0,391.0,2797.0,150.0
Europe,86556.0,384.0,166.0,1082.0,178.0,12861.0,1049.0,1672.0,183.0,384.0,7983.0,1849.0,15.0,264.0,214.0,6887.0,623.0,288.0,272.0,366.0,377.0,177.0,1674.0,3770.0,2170.0,834.0,111.0,697.0,98.0,155.0,804.0,328.0,4761.0,221.0,13630.0,1557.0,92.0,1564.0,279.0,848.0,2978.0,86.0,268.0,593.0,67.0,646.0,4304.0,15.0,29.0,383.0,135.0,2182.0,3113.0,71.0,739.0,80.0
North America,315660.0,896.0,193.0,8476.0,1279.0,60689.0,3628.0,2857.0,597.0,539.0,56577.0,5668.0,,203.0,835.0,8514.0,1650.0,1107.0,1744.0,1336.0,1442.0,185.0,4527.0,7799.0,2171.0,1620.0,473.0,1131.0,91.0,1502.0,3858.0,340.0,14398.0,2259.0,40097.0,4080.0,133.0,1459.0,1544.0,2117.0,5051.0,2294.0,1369.0,1029.0,144.0,1669.0,43218.0,,750.0,1701.0,115.0,4573.0,3978.0,123.0,1431.0,190.0
Oceania,5277.0,21.0,42.0,67.0,11.0,1857.0,112.0,57.0,3.0,,177.0,80.0,4.0,126.0,27.0,104.0,48.0,24.0,10.0,21.0,20.0,10.0,49.0,116.0,66.0,60.0,3.0,42.0,,16.0,63.0,,123.0,10.0,484.0,77.0,3.0,58.0,12.0,128.0,84.0,3.0,9.0,24.0,,51.0,280.0,,3.0,197.0,6.0,91.0,320.0,,18.0,
South America,80945.0,201.0,60.0,420.0,132.0,5977.0,541.0,1938.0,120.0,198.0,22236.0,2083.0,,90.0,84.0,1448.0,320.0,140.0,176.0,185.0,279.0,37.0,1584.0,2871.0,359.0,541.0,106.0,257.0,30.0,126.0,470.0,176.0,8674.0,96.0,14384.0,1450.0,23.0,481.0,224.0,232.0,1225.0,420.0,381.0,521.0,,325.0,4839.0,6.0,18.0,921.0,42.0,2516.0,589.0,54.0,282.0,35.0
Afghanistan,2196.0,13.0,0.0,36.0,,748.0,21.0,26.0,6.0,12.0,27.0,61.0,0.0,,42.0,36.0,11.0,8.0,8.0,9.0,11.0,13.0,53.0,9.0,10.0,9.0,,29.0,3.0,11.0,6.0,,50.0,6.0,228.0,23.0,0.0,21.0,3.0,24.0,24.0,0.0,0.0,3.0,3.0,16.0,140.0,0.0,0.0,13.0,0.0,363.0,51.0,,4.0,0.0
Albania,3186.0,4.0,3.0,29.0,4.0,96.0,5.0,167.0,6.0,,283.0,19.0,0.0,,3.0,197.0,6.0,0.0,,0.0,,4.0,10.0,347.0,470.0,9.0,0.0,47.0,,,15.0,17.0,160.0,,794.0,11.0,,55.0,7.0,,222.0,3.0,3.0,4.0,,9.0,68.0,0.0,0.0,0.0,,47.0,16.0,0.0,30.0,0.0
Algeria,1241.0,,0.0,5.0,,197.0,30.0,21.0,,,43.0,28.0,0.0,,,70.0,13.0,,32.0,6.0,18.0,,10.0,70.0,20.0,11.0,0.0,9.0,0.0,0.0,,,65.0,,160.0,14.0,0.0,53.0,5.0,6.0,144.0,,5.0,4.0,0.0,4.0,97.0,0.0,0.0,,0.0,54.0,24.0,0.0,5.0,0.0
American Samoa,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,143.0,0.0,0.0,,0.0,3.0,,,0.0,4.0,8.0,3.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,,0.0,7.0,3.0,42.0,,,0.0,0.0,0.0,0.0,,0.0,7.0,,9.0,4.0,0.0,,0.0,0.0,8.0,0.0,5.0,0.0,0.0,,12.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Anguilla,22.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua-Barbuda,344.0,0.0,0.0,,,,0.0,6.0,,,51.0,12.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,6.0,10.0,,,0.0,0.0,0.0,0.0,6.0,,10.0,0.0,168.0,9.0,0.0,,0.0,0.0,10.0,,0.0,3.0,0.0,0.0,4.0,0.0,31.0,0.0,0.0,,0.0,0.0,,0.0
Argentina,4372.0,13.0,3.0,28.0,17.0,516.0,41.0,50.0,6.0,12.0,1564.0,72.0,0.0,12.0,9.0,81.0,14.0,14.0,9.0,14.0,10.0,6.0,99.0,70.0,26.0,42.0,10.0,19.0,,9.0,67.0,,221.0,6.0,377.0,66.0,3.0,31.0,12.0,29.0,77.0,28.0,10.0,24.0,0.0,35.0,313.0,0.0,,105.0,0.0,110.0,47.0,3.0,36.0,
Armenia,2722.0,0.0,0.0,24.0,,2083.0,9.0,3.0,,,32.0,7.0,,0.0,,13.0,3.0,5.0,,,7.0,,24.0,47.0,14.0,7.0,,5.0,,,66.0,,34.0,0.0,149.0,10.0,0.0,22.0,0.0,6.0,24.0,0.0,3.0,9.0,0.0,8.0,20.0,0.0,0.0,18.0,,16.0,34.0,0.0,,0.0
Aruba,45.0,0.0,0.0,0.0,,3.0,0.0,,0.0,0.0,10.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0
Australia,2759.0,12.0,9.0,35.0,10.0,696.0,70.0,41.0,3.0,14.0,128.0,55.0,,23.0,15.0,79.0,33.0,16.0,7.0,16.0,15.0,6.0,34.0,81.0,49.0,41.0,,14.0,6.0,9.0,43.0,10.0,92.0,5.0,387.0,53.0,3.0,41.0,8.0,29.0,65.0,3.0,5.0,16.0,0.0,39.0,196.0,,,33.0,4.0,55.0,127.0,,11.0,10.0
Austria,415.0,3.0,3.0,7.0,,102.0,11.0,4.0,0.0,3.0,42.0,10.0,0.0,8.0,,15.0,0.0,,,,,0.0,8.0,11.0,9.0,7.0,0.0,,,3.0,,4.0,18.0,,59.0,8.0,0.0,5.0,0.0,3.0,6.0,0.0,0.0,3.0,,,17.0,,0.0,0.0,0.0,10.0,15.0,,,
Azerbaijan,637.0,0.0,,6.0,,170.0,,3.0,3.0,,18.0,10.0,0.0,0.0,,12.0,0.0,0.0,3.0,10.0,,3.0,18.0,19.0,7.0,7.0,,9.0,,0.0,8.0,,18.0,0.0,142.0,8.0,0.0,9.0,0.0,0.0,36.0,0.0,3.0,,0.0,3.0,32.0,,0.0,,0.0,39.0,22.0,0.0,,0.0
Bahamas,630.0,6.0,0.0,,,11.0,0.0,6.0,0.0,,344.0,50.0,0.0,0.0,0.0,10.0,0.0,,,0.0,5.0,0.0,10.0,5.0,5.0,7.0,5.0,,0.0,5.0,0.0,0.0,14.0,,34.0,22.0,3.0,6.0,5.0,,6.0,0.0,0.0,6.0,,12.0,32.0,0.0,0.0,0.0,0.0,4.0,,0.0,4.0,0.0
Bahrain,115.0,,0.0,,0.0,20.0,,,,0.0,8.0,,0.0,0.0,0.0,6.0,,0.0,,0.0,0.0,0.0,3.0,,12.0,,0.0,,0.0,5.0,0.0,0.0,8.0,0.0,5.0,,0.0,,,0.0,6.0,0.0,0.0,0.0,0.0,,15.0,0.0,0.0,0.0,0.0,3.0,,,0.0,0.0
Bangladesh,12099.0,57.0,4.0,80.0,11.0,663.0,32.0,171.0,34.0,17.0,662.0,382.0,0.0,22.0,5.0,116.0,41.0,,52.0,10.0,24.0,,288.0,222.0,707.0,82.0,8.0,32.0,0.0,7.0,47.0,12.0,792.0,7.0,5604.0,64.0,6.0,72.0,48.0,12.0,412.0,0.0,,25.0,,53.0,631.0,0.0,16.0,,,478.0,66.0,3.0,12.0,0.0
Barbados,428.0,0.0,0.0,,,9.0,,9.0,0.0,,56.0,20.0,0.0,0.0,0.0,6.0,,0.0,,0.0,0.0,0.0,19.0,28.0,,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,0.0,200.0,12.0,,5.0,,,9.0,0.0,,,0.0,,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0
Belarus,1970.0,0.0,,6.0,,292.0,34.0,39.0,8.0,3.0,133.0,39.0,0.0,,8.0,119.0,11.0,3.0,,5.0,4.0,3.0,47.0,99.0,19.0,65.0,,14.0,0.0,,10.0,12.0,175.0,,399.0,24.0,,33.0,4.0,16.0,136.0,0.0,3.0,13.0,0.0,3.0,49.0,0.0,0.0,,,37.0,69.0,,18.0,3.0
Belgium,675.0,5.0,,15.0,,114.0,7.0,8.0,,5.0,68.0,20.0,0.0,,4.0,16.0,,,5.0,,13.0,3.0,19.0,22.0,17.0,7.0,,4.0,,0.0,4.0,,48.0,3.0,81.0,11.0,0.0,13.0,,12.0,20.0,,,5.0,,8.0,56.0,0.0,0.0,4.0,0.0,21.0,12.0,,5.0,
Belize,946.0,,,7.0,3.0,335.0,4.0,0.0,,,82.0,17.0,0.0,0.0,0.0,87.0,5.0,,,7.0,11.0,0.0,8.0,4.0,10.0,8.0,3.0,,0.0,,18.0,4.0,14.0,0.0,142.0,17.0,,,,4.0,17.0,0.0,,0.0,0.0,7.0,74.0,0.0,0.0,,,20.0,15.0,0.0,,0.0
Benin,342.0,,0.0,,4.0,9.0,16.0,,0.0,,,20.0,0.0,0.0,0.0,26.0,18.0,,,0.0,0.0,3.0,33.0,3.0,5.0,14.0,0.0,3.0,0.0,13.0,0.0,0.0,19.0,0.0,41.0,11.0,0.0,8.0,4.0,0.0,26.0,0.0,,,0.0,4.0,22.0,0.0,0.0,,0.0,18.0,3.0,0.0,,0.0
Bermuda,88.0,5.0,0.0,0.0,,3.0,,,0.0,,13.0,14.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,7.0,0.0,,,0.0,4.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0
Bhutan,8954.0,0.0,,223.0,0.0,91.0,261.0,26.0,0.0,0.0,38.0,638.0,0.0,0.0,97.0,277.0,16.0,69.0,69.0,211.0,10.0,0.0,275.0,310.0,192.0,85.0,0.0,148.0,,163.0,17.0,221.0,9.0,14.0,763.0,301.0,174.0,663.0,0.0,109.0,1398.0,0.0,20.0,9.0,168.0,144.0,774.0,0.0,0.0,121.0,182.0,372.0,239.0,0.0,49.0,0.0
Bolivia,2071.0,4.0,,,6.0,175.0,13.0,18.0,,15.0,274.0,13.0,0.0,,6.0,39.0,6.0,0.0,,5.0,6.0,0.0,116.0,43.0,6.0,7.0,10.0,5.0,0.0,,21.0,0.0,90.0,8.0,143.0,22.0,0.0,10.0,5.0,7.0,15.0,4.0,73.0,16.0,0.0,5.0,134.0,0.0,0.0,19.0,4.0,691.0,11.0,3.0,14.0,0.0
