,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1052415.0,3393.0,1617.0,17528.0,2722.0,228941.0,11039.0,12932.0,2085.0,2541.0,126277.0,27353.0,7236.0,2044.0,41971.0,6639.0,3103.0,4141.0,4340.0,3475.0,1488.0,24255.0,30555.0,18727.0,13814.0,1593.0,6459.0,575.0,3066.0,12308.0,2272.0,55834.0,3112.0,136739.0,15469.0,496.0,14078.0,4269.0,7905.0,22811.0,3354.0,4788.0,668.0,8942.0,77278.0,85.0,5317.0,5168.0,791.0,29682.0,22657.0,721.0,7381.0,380.0,1
Africa,94711.0,385.0,68.0,1250.0,118.0,8035.0,1608.0,963.0,412.0,887.0,2964.0,4938.0,65.0,195.0,2924.0,905.0,400.0,538.0,564.0,240.0,442.0,7368.0,5673.0,1418.0,5167.0,99.0,933.0,28.0,587.0,766.0,339.0,5360.0,84.0,9703.0,2406.0,115.0,3509.0,414.0,602.0,3254.0,727.0,424.0,186.0,1962.0,6757.0,8.0,23.0,339.0,230.0,5167.0,2485.0,66.0,597.0,14.0,0
Asia,383508.0,1489.0,966.0,4291.0,878.0,114231.0,3237.0,3917.0,812.0,441.0,14135.0,9489.0,6227.0,521.0,16621.0,2732.0,1136.0,1635.0,1612.0,1522.0,453.0,8443.0,8744.0,10258.0,5280.0,751.0,2592.0,200.0,877.0,4626.0,849.0,20264.0,694.0,50190.0,5388.0,184.0,5703.0,1645.0,3065.0,9530.0,620.0,1456.0,196.0,3410.0,22262.0,45.0,1732.0,1309.0,259.0,12453.0,10139.0,347.0,3515.0,137.0,0
Europe,120821.0,489.0,222.0,1745.0,258.0,19597.0,1780.0,2644.0,213.0,377.0,9161.0,3016.0,266.0,449.0,9870.0,1034.0,378.0,334.0,797.0,391.0,291.0,1919.0,4432.0,3855.0,1177.0,165.0,1316.0,131.0,198.0,1134.0,462.0,6736.0,322.0,18676.0,1882.0,109.0,2501.0,391.0,1530.0,4222.0,290.0,815.0,134.0,912.0,4389.0,18.0,145.0,652.0,166.0,2658.0,4793.0,129.0,1181.0,68.0,1
North America,339355.0,762.0,239.0,9463.0,1345.0,76153.0,3699.0,3148.0,504.0,614.0,64001.0,6856.0,243.0,758.0,10808.0,1577.0,1028.0,1419.0,1141.0,1031.0,205.0,4661.0,7377.0,2591.0,1502.0,456.0,1195.0,168.0,1272.0,5072.0,345.0,13090.0,1860.0,40512.0,4097.0,,1626.0,1510.0,2258.0,4206.0,1310.0,1298.0,127.0,2067.0,39393.0,,2749.0,1699.0,78.0,5677.0,4131.0,105.0,1725.0,131.0,0
Oceania,6101.0,19.0,42.0,91.0,9.0,2466.0,134.0,48.0,8.0,8.0,166.0,104.0,291.0,17.0,106.0,31.0,19.0,20.0,27.0,18.0,24.0,57.0,116.0,50.0,61.0,9.0,54.0,20.0,13.0,71.0,26.0,111.0,18.0,396.0,57.0,,66.0,29.0,142.0,81.0,10.0,27.0,,51.0,234.0,,12.0,177.0,15.0,105.0,374.0,12.0,47.0,5.0,0
South America,106525.0,244.0,77.0,663.0,106.0,8140.0,570.0,2197.0,135.0,211.0,35691.0,2913.0,140.0,100.0,1553.0,347.0,142.0,193.0,191.0,259.0,73.0,1757.0,4190.0,525.0,615.0,110.0,360.0,27.0,117.0,621.0,248.0,10211.0,128.0,17113.0,1602.0,11.0,646.0,270.0,299.0,1477.0,392.0,760.0,,531.0,4170.0,,646.0,988.0,42.0,3591.0,711.0,62.0,302.0,24.0,0
Afghanistan,1753.0,0.0,0.0,94.0,0.0,516.0,27.0,32.0,,3.0,34.0,59.0,0.0,21.0,28.0,22.0,9.0,0.0,5.0,3.0,4.0,33.0,28.0,10.0,3.0,0.0,43.0,0.0,16.0,12.0,3.0,59.0,6.0,217.0,5.0,,6.0,0.0,8.0,31.0,,,0.0,13.0,87.0,,0.0,9.0,0.0,250.0,45.0,,4.0,0.0,0
Albania,5737.0,6.0,6.0,26.0,,81.0,7.0,325.0,,12.0,579.0,20.0,0.0,,311.0,7.0,7.0,3.0,6.0,,9.0,35.0,627.0,1008.0,4.0,0.0,59.0,,,19.0,30.0,226.0,3.0,1484.0,37.0,0.0,125.0,8.0,9.0,335.0,3.0,29.0,0.0,11.0,70.0,,0.0,9.0,,64.0,36.0,,87.0,0.0,0
Algeria,1036.0,,0.0,6.0,,173.0,22.0,3.0,,13.0,46.0,17.0,,0.0,44.0,10.0,,5.0,3.0,11.0,,19.0,94.0,29.0,7.0,,7.0,3.0,0.0,5.0,,76.0,3.0,157.0,22.0,0.0,43.0,,4.0,64.0,5.0,,0.0,0.0,60.0,0.0,,,0.0,51.0,13.0,0.0,4.0,0.0,0
American Samoa,11.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0
Andorra,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Angola,199.0,0.0,0.0,4.0,0.0,7.0,3.0,4.0,0.0,,18.0,6.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,7.0,59.0,5.0,,0.0,,0.0,,0.0,0.0,13.0,0.0,9.0,10.0,0.0,,,,10.0,,0.0,0.0,0.0,24.0,0.0,0.0,,0.0,,,0.0,,0.0,0
Anguilla,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antigua-Barbuda,415.0,0.0,0.0,0.0,0.0,,0.0,4.0,,,64.0,16.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,3.0,9.0,0.0,,0.0,,0.0,0.0,0.0,0.0,20.0,0.0,211.0,6.0,0.0,,,0.0,10.0,0.0,0.0,0.0,0.0,4.0,0.0,51.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0
Argentina,5645.0,6.0,6.0,36.0,11.0,769.0,43.0,60.0,10.0,19.0,2211.0,80.0,21.0,5.0,87.0,22.0,13.0,7.0,8.0,24.0,5.0,114.0,83.0,29.0,32.0,10.0,22.0,3.0,6.0,56.0,5.0,304.0,9.0,549.0,70.0,0.0,32.0,14.0,12.0,82.0,6.0,23.0,0.0,22.0,284.0,,58.0,89.0,8.0,181.0,74.0,6.0,16.0,,0
Armenia,4351.0,,0.0,11.0,,3554.0,27.0,12.0,,,40.0,11.0,0.0,,20.0,3.0,,4.0,0.0,4.0,,23.0,70.0,17.0,4.0,,5.0,0.0,0.0,85.0,0.0,73.0,,164.0,8.0,0.0,35.0,8.0,12.0,34.0,7.0,4.0,,11.0,27.0,0.0,0.0,9.0,,28.0,21.0,0.0,6.0,0.0,0
Aruba,55.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0
Australia,2518.0,13.0,16.0,56.0,6.0,594.0,86.0,36.0,4.0,6.0,108.0,66.0,33.0,12.0,75.0,19.0,11.0,12.0,16.0,10.0,15.0,35.0,65.0,32.0,32.0,6.0,13.0,6.0,4.0,32.0,14.0,79.0,15.0,288.0,29.0,,41.0,17.0,38.0,55.0,4.0,17.0,0.0,39.0,153.0,,,42.0,12.0,73.0,142.0,7.0,28.0,,0
Austria,485.0,0.0,0.0,5.0,,120.0,5.0,12.0,0.0,,37.0,11.0,6.0,,11.0,4.0,,0.0,7.0,5.0,,4.0,15.0,7.0,,0.0,8.0,0.0,3.0,9.0,4.0,21.0,,72.0,6.0,0.0,8.0,,4.0,14.0,,7.0,0.0,,23.0,0.0,3.0,,0.0,14.0,16.0,,5.0,0.0,0
Azerbaijan,1166.0,0.0,,5.0,0.0,508.0,13.0,3.0,0.0,4.0,31.0,12.0,0.0,,28.0,5.0,4.0,0.0,7.0,5.0,0.0,21.0,26.0,16.0,5.0,0.0,19.0,,,11.0,3.0,23.0,0.0,220.0,10.0,0.0,12.0,4.0,7.0,39.0,,0.0,,6.0,29.0,0.0,0.0,7.0,,29.0,43.0,0.0,3.0,0.0,0
Bahamas,738.0,5.0,,3.0,0.0,8.0,0.0,,,,458.0,61.0,,0.0,6.0,,0.0,,3.0,,,8.0,5.0,6.0,,9.0,,0.0,4.0,3.0,0.0,12.0,0.0,34.0,16.0,0.0,8.0,,0.0,9.0,,7.0,0.0,9.0,23.0,0.0,,,0.0,13.0,,0.0,,,0
Bahrain,133.0,0.0,0.0,7.0,0.0,13.0,0.0,,0.0,0.0,9.0,10.0,0.0,0.0,6.0,0.0,,0.0,4.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,,0.0,6.0,0.0,17.0,3.0,0.0,0.0,5.0,0.0,13.0,,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,,,,0.0,0
Bangladesh,12074.0,20.0,5.0,80.0,5.0,828.0,25.0,167.0,42.0,23.0,696.0,370.0,,3.0,146.0,37.0,18.0,33.0,28.0,18.0,,259.0,134.0,558.0,52.0,5.0,39.0,0.0,,59.0,8.0,690.0,3.0,5763.0,62.0,4.0,100.0,48.0,26.0,329.0,6.0,13.0,,39.0,746.0,0.0,21.0,11.0,3.0,459.0,69.0,7.0,10.0,0.0,0
