,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1130818.0,3891.0,1608.0,20997.0,2942.0,227876.0,12841.0,13632.0,2184.0,2934.0,127006.0,28396.0,1427.0,6929.0,3120.0,41889.0,9087.0,3963.0,5319.0,5260.0,4299.0,1675.0,26722.0,32607.0,18919.0,18020.0,1652.0,7142.0,553.0,3989.0,12334.0,2483.0,58879.0,3887.0,150722.0,18562.0,843.0,15375.0,5007.0,9026.0,24105.0,4084.0,4156.0,4747.0,1271.0,9042.0,95384.0,86.0,1409.0,6466.0,792.0,29825.0,27562.0,734.0,6727.0,429.0,2
Africa,127050.0,582.0,83.0,2559.0,146.0,8578.0,2621.0,1185.0,507.0,1006.0,3157.0,5944.0,,49.0,482.0,3914.0,1388.0,982.0,841.0,1321.0,325.0,819.0,8485.0,6282.0,1863.0,9579.0,129.0,1662.0,59.0,1137.0,1003.0,556.0,5774.0,178.0,12046.0,2857.0,401.0,5045.0,506.0,1047.0,4581.0,,1183.0,384.0,649.0,2572.0,10255.0,9.0,18.0,880.0,226.0,5527.0,4543.0,97.0,989.0,30.0,0
Asia,413312.0,1644.0,958.0,5615.0,899.0,117446.0,3600.0,4013.0,787.0,549.0,12726.0,9900.0,1397.0,6058.0,1009.0,16138.0,4371.0,1212.0,2045.0,1963.0,1793.0,369.0,9385.0,9291.0,11089.0,4963.0,713.0,2836.0,194.0,1222.0,4492.0,914.0,21034.0,815.0,58012.0,6602.0,234.0,6065.0,1963.0,3405.0,9663.0,121.0,609.0,1593.0,297.0,3261.0,28314.0,43.0,346.0,2070.0,262.0,13732.0,12207.0,386.0,2544.0,143.0,0
Europe,105398.0,419.0,221.0,1454.0,188.0,14789.0,1616.0,2555.0,213.0,438.0,8808.0,2427.0,,265.0,321.0,8514.0,900.0,389.0,345.0,489.0,422.0,239.0,1880.0,4380.0,2963.0,1235.0,182.0,940.0,110.0,183.0,1003.0,356.0,5593.0,287.0,15113.0,1989.0,84.0,1988.0,335.0,1477.0,3625.0,113.0,308.0,833.0,142.0,840.0,4796.0,15.0,,549.0,156.0,2639.0,5062.0,92.0,1022.0,67.0,2
North America,375236.0,922.0,241.0,10595.0,1540.0,76870.0,4237.0,3428.0,557.0,671.0,69761.0,7145.0,9.0,211.0,1138.0,11472.0,1983.0,1238.0,1836.0,1267.0,1347.0,167.0,4918.0,8891.0,2462.0,1581.0,479.0,1281.0,140.0,1291.0,5113.0,406.0,15910.0,2422.0,48181.0,5308.0,96.0,1509.0,1903.0,2713.0,4813.0,3208.0,1580.0,1274.0,161.0,1846.0,46810.0,10.0,996.0,1867.0,105.0,4698.0,4598.0,94.0,1792.0,145.0,0
Oceania,5578.0,22.0,42.0,89.0,23.0,2022.0,132.0,61.0,6.0,24.0,197.0,101.0,6.0,191.0,20.0,137.0,37.0,24.0,22.0,21.0,20.0,9.0,73.0,84.0,70.0,53.0,12.0,58.0,9.0,10.0,69.0,20.0,120.0,23.0,385.0,89.0,6.0,66.0,18.0,117.0,84.0,3.0,13.0,22.0,,39.0,267.0,4.0,,132.0,7.0,92.0,354.0,9.0,48.0,12.0,0
South America,102878.0,287.0,61.0,671.0,142.0,7950.0,625.0,2384.0,112.0,243.0,32204.0,2844.0,,153.0,148.0,1588.0,381.0,118.0,228.0,196.0,351.0,70.0,1954.0,3651.0,443.0,588.0,129.0,349.0,38.0,140.0,645.0,229.0,10387.0,160.0,16850.0,1688.0,22.0,653.0,275.0,260.0,1297.0,626.0,461.0,639.0,,466.0,4844.0,5.0,28.0,966.0,36.0,3101.0,773.0,55.0,312.0,32.0,0
Afghanistan,3165.0,3.0,0.0,102.0,,982.0,65.0,42.0,11.0,,55.0,88.0,0.0,6.0,61.0,36.0,26.0,8.0,11.0,3.0,9.0,5.0,74.0,14.0,29.0,9.0,,55.0,0.0,21.0,35.0,10.0,44.0,5.0,340.0,36.0,0.0,16.0,11.0,34.0,64.0,0.0,5.0,17.0,10.0,25.0,164.0,,0.0,32.0,,521.0,55.0,,19.0,0.0,0
Albania,5137.0,3.0,,53.0,4.0,84.0,18.0,346.0,5.0,8.0,455.0,15.0,0.0,0.0,8.0,341.0,7.0,6.0,6.0,,0.0,4.0,69.0,542.0,749.0,12.0,,65.0,0.0,,23.0,13.0,255.0,0.0,1211.0,26.0,0.0,128.0,7.0,17.0,355.0,0.0,,25.0,0.0,19.0,76.0,0.0,0.0,11.0,7.0,66.0,21.0,0.0,69.0,0.0,0
Algeria,1485.0,8.0,0.0,13.0,0.0,238.0,19.0,15.0,,6.0,69.0,22.0,0.0,3.0,,76.0,23.0,,8.0,6.0,11.0,,20.0,111.0,24.0,20.0,,7.0,0.0,,9.0,,110.0,3.0,225.0,35.0,0.0,52.0,,4.0,113.0,0.0,,3.0,0.0,3.0,91.0,0.0,0.0,,0.0,87.0,18.0,0.0,19.0,,0
American Samoa,19.0,0.0,,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Andorra,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Angola,173.0,0.0,0.0,5.0,0.0,5.0,,,0.0,0.0,14.0,5.0,0.0,0.0,0.0,0.0,3.0,,0.0,0.0,0.0,0.0,7.0,47.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7.0,0.0,12.0,6.0,0.0,0.0,,0.0,10.0,0.0,15.0,0.0,0.0,0.0,19.0,0.0,0.0,,,3.0,3.0,0.0,0.0,0.0,0
Anguilla,21.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Antigua-Barbuda,437.0,,0.0,4.0,0.0,6.0,0.0,7.0,0.0,0.0,57.0,15.0,0.0,,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,,,,,0.0,,,,26.0,0.0,178.0,7.0,0.0,,0.0,0.0,11.0,4.0,0.0,3.0,0.0,0.0,9.0,0.0,55.0,,0.0,6.0,3.0,0.0,0.0,0.0,0
Argentina,5780.0,13.0,,42.0,14.0,713.0,47.0,92.0,4.0,30.0,2392.0,88.0,0.0,20.0,4.0,82.0,14.0,8.0,13.0,12.0,13.0,3.0,81.0,87.0,44.0,39.0,8.0,20.0,,5.0,70.0,,325.0,7.0,513.0,54.0,0.0,55.0,12.0,31.0,71.0,68.0,9.0,29.0,,28.0,295.0,0.0,0.0,103.0,,128.0,67.0,,18.0,,0
Armenia,3442.0,,0.0,19.0,0.0,2636.0,12.0,20.0,,5.0,53.0,9.0,0.0,,,30.0,5.0,0.0,0.0,,4.0,3.0,32.0,62.0,14.0,,0.0,6.0,0.0,,59.0,,69.0,,187.0,9.0,0.0,29.0,,10.0,29.0,0.0,12.0,,0.0,9.0,30.0,0.0,0.0,12.0,0.0,28.0,35.0,0.0,0.0,0.0,0
