,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,1042625.0,3740.0,1703.0,18243.0,2684.0,208446.0,12489.0,12222.0,2198.0,2897.0,107276.0,24833.0,1383.0,7037.0,2556.0,37909.0,8539.0,4245.0,5501.0,4930.0,4397.0,1349.0,26450.0,31069.0,18579.0,12408.0,1709.0,7151.0,457.0,4400.0,10803.0,2556.0,56920.0,3528.0,147999.0,16112.0,1058.0,13585.0,4627.0,7997.0,24130.0,4283.0,4027.0,4401.0,987.0,8156.0,87750.0,136.0,1558.0,6085.0,867.0,28607.0,22283.0,729.0,6189.0,452.0,0
Africa,101355.0,519.0,108.0,1402.0,148.0,7138.0,1886.0,972.0,500.0,1037.0,2744.0,4649.0,,55.0,250.0,3092.0,1158.0,904.0,697.0,896.0,363.0,401.0,7962.0,5148.0,1456.0,5076.0,147.0,1292.0,52.0,804.0,801.0,353.0,5571.0,154.0,10513.0,2791.0,274.0,3376.0,479.0,723.0,3919.0,,930.0,457.0,339.0,1728.0,8474.0,19.0,14.0,541.0,156.0,5306.0,2784.0,83.0,663.0,39.0,0
Asia,422063.0,1840.0,948.0,6189.0,998.0,114318.0,4613.0,3892.0,854.0,609.0,13065.0,10173.0,1345.0,6250.0,1099.0,16574.0,4504.0,1736.0,2354.0,2302.0,1948.0,508.0,9799.0,10489.0,12041.0,4697.0,845.0,3285.0,174.0,1812.0,4435.0,1312.0,20923.0,931.0,55830.0,6644.0,581.0,6405.0,1981.0,3853.0,10722.0,128.0,648.0,1673.0,423.0,3663.0,30261.0,70.0,584.0,2146.0,439.0,14158.0,11736.0,390.0,2695.0,171.0,0
Europe,88743.0,434.0,251.0,1188.0,201.0,12202.0,1387.0,2082.0,201.0,376.0,7363.0,1971.0,20.0,259.0,210.0,7316.0,698.0,327.0,307.0,392.0,393.0,188.0,1727.0,3581.0,2421.0,919.0,130.0,852.0,98.0,176.0,842.0,309.0,4947.0,223.0,14269.0,1465.0,87.0,1682.0,333.0,974.0,3172.0,120.0,211.0,679.0,79.0,621.0,4158.0,25.0,15.0,438.0,125.0,2010.0,3246.0,101.0,880.0,62.0,0
North America,336602.0,730.0,249.0,8858.0,1223.0,66120.0,3876.0,3257.0,517.0,673.0,59530.0,5722.0,3.0,196.0,854.0,9256.0,1806.0,1145.0,1908.0,1129.0,1295.0,202.0,4989.0,8625.0,2163.0,1196.0,466.0,1316.0,93.0,1480.0,4136.0,400.0,16097.0,2075.0,50267.0,3824.0,91.0,1412.0,1585.0,2064.0,4972.0,3520.0,1803.0,1033.0,121.0,1683.0,40123.0,,909.0,1813.0,95.0,4413.0,3473.0,96.0,1566.0,136.0,0
Oceania,5345.0,14.0,46.0,87.0,7.0,1893.0,144.0,44.0,3.0,12.0,169.0,77.0,,165.0,15.0,88.0,42.0,19.0,16.0,19.0,23.0,4.0,69.0,89.0,64.0,54.0,4.0,53.0,8.0,5.0,73.0,13.0,103.0,28.0,408.0,92.0,4.0,74.0,25.0,136.0,87.0,,10.0,22.0,7.0,73.0,220.0,0.0,6.0,199.0,9.0,89.0,364.0,7.0,41.0,7.0,0
South America,87187.0,181.0,101.0,504.0,101.0,6557.0,572.0,1963.0,119.0,185.0,24271.0,2224.0,,107.0,120.0,1479.0,316.0,110.0,218.0,173.0,339.0,45.0,1873.0,3121.0,379.0,459.0,115.0,337.0,32.0,118.0,511.0,168.0,9209.0,116.0,16580.0,1258.0,20.0,594.0,221.0,235.0,1206.0,497.0,424.0,532.0,18.0,363.0,4430.0,,24.0,944.0,42.0,2590.0,663.0,51.0,330.0,37.0,0
Afghanistan,2017.0,4.0,0.0,83.0,,667.0,26.0,11.0,4.0,18.0,35.0,58.0,0.0,,36.0,29.0,15.0,0.0,15.0,,,6.0,30.0,18.0,14.0,7.0,6.0,35.0,0.0,10.0,19.0,6.0,56.0,10.0,210.0,19.0,,4.0,0.0,18.0,63.0,0.0,0.0,3.0,3.0,16.0,109.0,0.0,0.0,24.0,0.0,289.0,31.0,0.0,,0.0,0
Albania,4711.0,5.0,,38.0,4.0,75.0,9.0,326.0,3.0,6.0,388.0,19.0,0.0,0.0,7.0,305.0,3.0,3.0,8.0,4.0,,0.0,29.0,559.0,611.0,13.0,,44.0,0.0,5.0,25.0,16.0,293.0,0.0,1143.0,38.0,0.0,126.0,5.0,9.0,337.0,0.0,,21.0,0.0,8.0,67.0,0.0,0.0,9.0,,60.0,23.0,0.0,60.0,,0
Algeria,1305.0,0.0,,6.0,0.0,229.0,22.0,9.0,,,55.0,18.0,0.0,0.0,,83.0,15.0,,15.0,,17.0,0.0,11.0,95.0,21.0,4.0,,11.0,0.0,0.0,,5.0,98.0,,217.0,28.0,,37.0,,4.0,123.0,,0.0,9.0,0.0,5.0,68.0,0.0,0.0,0.0,0.0,61.0,12.0,0.0,12.0,0.0,0
