,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Territories,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total,1031631.0,3873.0,1612.0,18434.0,2795.0,196622.0,13327.0,12237.0,2208.0,2811.0,103047.0,26134.0,1430.0,6764.0,2428.0,38373.0,8359.0,4679.0,4980.0,5243.0,4454.0,1497.0,24971.0,31392.0,17494.0,12999.0,1583.0,6635.0,503.0,4384.0,10343.0,2466.0,50790.0,3714.0,149505.0,17487.0,1144.0,13948.0,4646.0,7791.0,25032.0,3106.0,3798.0,3924.0,1521.0,8573.0,95557.0,108.0,1559.0,5932.0,877.0,28227.0,23060.0,779.0,6049.0,427.0
Africa,107241.0,519.0,118.0,1517.0,129.0,7150.0,2471.0,1093.0,497.0,996.0,2614.0,4925.0,,54.0,187.0,3563.0,1237.0,957.0,687.0,941.0,406.0,547.0,7786.0,5631.0,1376.0,5115.0,111.0,1167.0,64.0,744.0,870.0,300.0,5158.0,154.0,12557.0,2805.0,339.0,3686.0,527.0,796.0,4139.0,,864.0,341.0,546.0,1847.0,9513.0,8.0,8.0,514.0,142.0,5429.0,3160.0,124.0,768.0,34.0
Asia,429599.0,1784.0,910.0,6225.0,1077.0,107825.0,5003.0,3941.0,857.0,633.0,13243.0,10911.0,1409.0,5967.0,1003.0,16756.0,4317.0,2238.0,2197.0,2642.0,2016.0,544.0,9926.0,11205.0,11315.0,5327.0,734.0,3303.0,187.0,1924.0,4094.0,1310.0,19828.0,820.0,63423.0,7619.0,568.0,6825.0,1981.0,3604.0,12004.0,144.0,707.0,1503.0,715.0,3956.0,32341.0,67.0,694.0,2090.0,476.0,13748.0,12347.0,382.0,2773.0,161.0
Europe,81671.0,330.0,186.0,967.0,180.0,11121.0,1086.0,1952.0,156.0,409.0,7160.0,1794.0,9.0,243.0,206.0,6751.0,614.0,259.0,255.0,308.0,318.0,180.0,1555.0,3300.0,2117.0,739.0,124.0,583.0,94.0,120.0,757.0,276.0,4352.0,202.0,14497.0,1453.0,85.0,1481.0,255.0,854.0,2723.0,114.0,256.0,561.0,75.0,556.0,3834.0,14.0,24.0,440.0,126.0,1945.0,2853.0,93.0,660.0,69.0
North America,327771.0,995.0,272.0,9166.0,1315.0,63037.0,4140.0,3180.0,578.0,563.0,57795.0,6207.0,,223.0,932.0,9771.0,1880.0,1089.0,1664.0,1164.0,1393.0,178.0,4068.0,8157.0,2247.0,1359.0,519.0,1254.0,110.0,1486.0,4095.0,363.0,13493.0,2404.0,43678.0,4153.0,126.0,1354.0,1618.0,2247.0,4911.0,2396.0,1564.0,1021.0,158.0,1775.0,45127.0,,794.0,1821.0,83.0,4271.0,3823.0,104.0,1500.0,137.0
Oceania,4742.0,7.0,37.0,83.0,9.0,1732.0,128.0,46.0,6.0,19.0,175.0,53.0,,170.0,15.0,98.0,19.0,15.0,18.0,14.0,13.0,17.0,52.0,79.0,58.0,35.0,7.0,55.0,8.0,11.0,67.0,16.0,90.0,14.0,414.0,55.0,3.0,53.0,18.0,108.0,62.0,,12.0,21.0,7.0,46.0,226.0,,7.0,147.0,6.0,78.0,266.0,8.0,27.0,4.0
South America,79401.0,232.0,88.0,460.0,79.0,5620.0,488.0,2016.0,114.0,188.0,21974.0,2219.0,3.0,102.0,82.0,1301.0,269.0,117.0,156.0,157.0,276.0,31.0,1546.0,3004.0,350.0,416.0,82.0,259.0,39.0,97.0,458.0,195.0,7824.0,119.0,14766.0,1348.0,23.0,501.0,243.0,178.0,1145.0,437.0,392.0,473.0,20.0,370.0,4431.0,7.0,25.0,917.0,43.0,2735.0,596.0,68.0,300.0,22.0
Afghanistan,1617.0,,0.0,35.0,,587.0,26.0,22.0,,7.0,21.0,61.0,0.0,0.0,22.0,20.0,4.0,,,7.0,13.0,5.0,20.0,14.0,20.0,9.0,0.0,23.0,0.0,5.0,15.0,0.0,39.0,3.0,172.0,15.0,,9.0,,18.0,22.0,0.0,0.0,11.0,3.0,7.0,53.0,0.0,0.0,17.0,,262.0,35.0,0.0,4.0,0.0
Albania,3364.0,0.0,8.0,25.0,5.0,47.0,,232.0,,5.0,291.0,12.0,0.0,0.0,7.0,188.0,11.0,4.0,4.0,,0.0,6.0,22.0,404.0,424.0,6.0,0.0,25.0,,0.0,11.0,11.0,200.0,,911.0,15.0,0.0,54.0,,8.0,211.0,0.0,0.0,14.0,0.0,15.0,65.0,,0.0,9.0,3.0,40.0,19.0,0.0,38.0,
Algeria,1369.0,3.0,0.0,4.0,0.0,188.0,32.0,13.0,,6.0,58.0,22.0,0.0,,0.0,90.0,12.0,4.0,24.0,3.0,25.0,,21.0,103.0,27.0,10.0,,6.0,0.0,,4.0,6.0,85.0,0.0,211.0,36.0,0.0,50.0,0.0,,145.0,0.0,5.0,4.0,0.0,,75.0,0.0,0.0,,0.0,55.0,19.0,0.0,10.0,0.0
Andorra,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,187.0,,0.0,3.0,0.0,8.0,,,0.0,0.0,11.0,4.0,0.0,0.0,0.0,,3.0,3.0,,0.0,4.0,0.0,3.0,48.0,,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,0.0,16.0,15.0,0.0,,,3.0,12.0,0.0,4.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Anguilla,23.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua-Barbuda,337.0,,0.0,,0.0,5.0,0.0,5.0,,,54.0,13.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,3.0,5.0,,0.0,0.0,,0.0,0.0,0.0,0.0,20.0,0.0,151.0,,0.0,3.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,,9.0,0.0,37.0,0.0,0.0,6.0,0.0,0.0,,0.0
Argentina,4359.0,9.0,7.0,26.0,9.0,523.0,37.0,73.0,3.0,16.0,1582.0,105.0,,8.0,8.0,77.0,10.0,12.0,7.0,12.0,22.0,,58.0,64.0,30.0,21.0,,22.0,6.0,8.0,34.0,,213.0,5.0,419.0,58.0,,28.0,7.0,18.0,69.0,29.0,5.0,22.0,0.0,29.0,309.0,,0.0,110.0,4.0,158.0,40.0,4.0,32.0,
Armenia,2681.0,,,5.0,,1977.0,11.0,9.0,,,44.0,8.0,0.0,,,25.0,6.0,,4.0,6.0,6.0,,19.0,60.0,18.0,4.0,0.0,6.0,0.0,,35.0,,47.0,3.0,178.0,10.0,0.0,19.0,,7.0,21.0,0.0,5.0,6.0,0.0,5.0,21.0,0.0,0.0,20.0,,18.0,58.0,0.0,0.0,0.0
Aruba,54.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,20.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,9.0,,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,2414.0,5.0,6.0,46.0,6.0,622.0,80.0,33.0,5.0,13.0,118.0,43.0,0.0,46.0,5.0,68.0,11.0,9.0,15.0,10.0,9.0,9.0,30.0,64.0,45.0,16.0,4.0,26.0,,7.0,37.0,12.0,67.0,8.0,328.0,43.0,,35.0,8.0,43.0,44.0,,6.0,16.0,5.0,29.0,147.0,0.0,,34.0,,57.0,108.0,3.0,22.0,3.0
Austria,407.0,3.0,,5.0,0.0,87.0,5.0,4.0,,5.0,35.0,19.0,0.0,4.0,,12.0,3.0,0.0,,,,0.0,12.0,19.0,8.0,4.0,,0.0,,,3.0,0.0,9.0,,61.0,4.0,0.0,6.0,0.0,3.0,14.0,,0.0,6.0,0.0,,21.0,0.0,,3.0,,14.0,18.0,,3.0,0.0
Azerbaijan,663.0,,,,,161.0,7.0,7.0,0.0,,19.0,9.0,0.0,0.0,,27.0,0.0,0.0,0.0,4.0,,,21.0,25.0,7.0,4.0,0.0,5.0,0.0,,7.0,,28.0,,139.0,7.0,,18.0,,,34.0,0.0,,0.0,0.0,6.0,60.0,0.0,0.0,6.0,,15.0,21.0,,,0.0
Bahamas,619.0,9.0,0.0,3.0,4.0,22.0,0.0,8.0,,,369.0,46.0,0.0,0.0,0.0,5.0,,,0.0,,,,5.0,8.0,4.0,,,,0.0,,0.0,0.0,7.0,0.0,35.0,20.0,0.0,,,,9.0,0.0,0.0,4.0,0.0,7.0,19.0,0.0,0.0,0.0,0.0,9.0,,0.0,,0.0
Bahrain,104.0,,0.0,0.0,0.0,14.0,,3.0,0.0,0.0,6.0,3.0,0.0,,0.0,13.0,,0.0,,0.0,0.0,0.0,,3.0,6.0,0.0,0.0,,0.0,0.0,,0.0,6.0,0.0,9.0,,0.0,,4.0,,4.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,,0.0,,0.0
