,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Possessions,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,537151.0,734.0,777.0,6500.0,823.0,145594.0,6007.0,5957.0,982.0,882.0,43795.0,6880.0,2050.0,864.0,29432.0,2455.0,1314.0,2093.0,1307.0,1458.0,548.0,12295.0,16263.0,14615.0,7713.0,557.0,3999.0,285.0,1537.0,4622.0,958.0,30291.0,1449.0,66234.0,5084.0,267.0,8590.0,1765.0,3612.0,10205.0,2185.0,1748.0,257.0,2613.0,35417.0,2.0,1849.0,3110.0,419.0,13478.0,12668.0,237.0,3570.0,146.0,8659
Europe,89014.0,97.0,111.0,1206.0,84.0,14468.0,1521.0,1711.0,148.0,126.0,4863.0,910.0,99.0,294.0,10274.0,525.0,367.0,173.0,406.0,139.0,161.0,1519.0,4008.0,4110.0,1125.0,50.0,1256.0,88.0,245.0,655.0,325.0,5152.0,183.0,13753.0,642.0,87.0,2623.0,175.0,897.0,2771.0,468.0,353.0,97.0,362.0,2527.0,,63.0,823.0,213.0,1446.0,3103.0,48.0,793.0,,1329
Albania,3324.0,0.0,0.0,10.0,0.0,33.0,,176.0,,5.0,209.0,,0.0,3.0,280.0,11.0,0.0,3.0,0.0,0.0,6.0,53.0,449.0,661.0,3.0,0.0,62.0,0.0,5.0,14.0,17.0,177.0,,523.0,11.0,0.0,176.0,,,243.0,,13.0,0.0,,51.0,0.0,0.0,,5.0,23.0,19.0,0.0,51.0,0.0,19
Armenia,1793.0,0.0,,5.0,0.0,1537.0,4.0,9.0,0.0,,9.0,,0.0,0.0,7.0,3.0,0.0,0.0,,,0.0,4.0,25.0,12.0,5.0,0.0,5.0,0.0,0.0,19.0,,13.0,,48.0,,0.0,4.0,,6.0,11.0,16.0,,0.0,3.0,5.0,0.0,0.0,11.0,0.0,6.0,12.0,0.0,0.0,0.0,2
Austria,277.0,,0.0,7.0,,53.0,7.0,4.0,0.0,,26.0,,,,18.0,0.0,,0.0,0.0,0.0,0.0,12.0,6.0,16.0,4.0,,3.0,,0.0,4.0,3.0,10.0,,38.0,4.0,0.0,6.0,0.0,,4.0,0.0,,0.0,,12.0,0.0,0.0,,,8.0,7.0,0.0,0.0,,5
Azerbaijan,793.0,0.0,,,0.0,209.0,9.0,10.0,0.0,,13.0,3.0,,,13.0,,,3.0,11.0,0.0,3.0,12.0,33.0,42.0,6.0,0.0,12.0,0.0,,,0.0,13.0,,227.0,,,20.0,,,21.0,,0.0,,4.0,10.0,0.0,0.0,14.0,3.0,8.0,56.0,,5.0,0.0,8
Belarus,1464.0,0.0,,4.0,,194.0,81.0,25.0,,,28.0,13.0,0.0,,79.0,8.0,,0.0,7.0,0.0,0.0,30.0,43.0,38.0,48.0,0.0,35.0,3.0,5.0,,,62.0,,438.0,10.0,0.0,69.0,0.0,15.0,55.0,10.0,3.0,0.0,0.0,22.0,0.0,0.0,4.0,,15.0,70.0,0.0,24.0,0.0,13
Belgium,232.0,3.0,0.0,4.0,,48.0,10.0,6.0,,3.0,20.0,5.0,0.0,0.0,9.0,,,0.0,,0.0,,4.0,10.0,9.0,0.0,0.0,,,0.0,3.0,,7.0,,26.0,,0.0,4.0,,5.0,6.0,0.0,,0.0,0.0,16.0,0.0,,,0.0,6.0,,0.0,,0.0,5
Bosnia-Herzegovina,8013.0,5.0,6.0,291.0,,561.0,122.0,68.0,3.0,5.0,481.0,158.0,0.0,160.0,990.0,118.0,257.0,16.0,177.0,15.0,16.0,32.0,188.0,503.0,181.0,0.0,535.0,0.0,106.0,97.0,51.0,78.0,4.0,551.0,75.0,54.0,170.0,9.0,88.0,212.0,6.0,8.0,33.0,45.0,304.0,0.0,,379.0,85.0,127.0,278.0,4.0,76.0,,281
Bulgaria,2487.0,0.0,0.0,52.0,,379.0,41.0,23.0,10.0,6.0,136.0,73.0,,4.0,599.0,24.0,0.0,15.0,7.0,4.0,6.0,49.0,89.0,91.0,33.0,0.0,53.0,,,65.0,6.0,61.0,3.0,207.0,10.0,0.0,40.0,7.0,10.0,56.0,,17.0,0.0,5.0,85.0,0.0,0.0,15.0,,71.0,98.0,,8.0,4.0,15
