,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,U.S. Armed Services Posts,U.S. Dependencies,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Unknown
Total,743715.0,1775.0,1100.0,12377.0,1648.0,179754.0,6813.0,10421.0,1545.0,2188.0,82788.0,15408.0,654.0,3744.0,1674.0,28112.0,4261.0,2198.0,3129.0,2390.0,3402.0,729.0,17099.0,21748.0,10703.0,9089.0,1170.0,4526.0,267.0,1644.0,8470.0,1492.0,35077.0,3062.0,88733.0,16294.0,273.0,8072.0,2256.0,5051.0,16905.0,1253.0,2458.0,3506.0,415.0,4938.0,54024.0,432.0,619.0,2823.0,426.0,24730.0,19853.0,361.0,3845.0,186.0,5805
Africa,60383.0,185.0,44.0,741.0,67.0,5426.0,891.0,723.0,241.0,620.0,2284.0,2777.0,11.0,75.0,60.0,1606.0,491.0,273.0,331.0,319.0,203.0,175.0,4415.0,3151.0,755.0,3795.0,83.0,643.0,13.0,303.0,695.0,167.0,2872.0,69.0,5386.0,2101.0,68.0,1789.0,209.0,334.0,2253.0,,540.0,275.0,157.0,961.0,4457.0,41.0,4.0,167.0,66.0,4046.0,2013.0,50.0,321.0,,631
Asia,276375.0,864.0,567.0,3619.0,608.0,86570.0,2165.0,3194.0,703.0,397.0,9769.0,5623.0,538.0,2843.0,396.0,9798.0,1716.0,812.0,1276.0,871.0,1702.0,254.0,6270.0,7125.0,6029.0,3065.0,611.0,1956.0,71.0,535.0,3124.0,562.0,13846.0,494.0,29730.0,6118.0,78.0,3546.0,931.0,2068.0,7460.0,63.0,462.0,1312.0,104.0,2183.0,18451.0,147.0,70.0,738.0,126.0,11703.0,9465.0,159.0,1656.0,50.0,1782
Europe,90149.0,230.0,220.0,1346.0,119.0,12055.0,1217.0,2565.0,149.0,294.0,6738.0,1791.0,19.0,216.0,322.0,8353.0,671.0,428.0,238.0,499.0,244.0,142.0,1686.0,3774.0,2365.0,969.0,92.0,1059.0,88.0,144.0,883.0,361.0,5171.0,233.0,13889.0,2031.0,74.0,1579.0,212.0,1054.0,3171.0,56.0,288.0,667.0,86.0,602.0,2854.0,43.0,13.0,381.0,140.0,2397.0,4443.0,74.0,741.0,34.0,639
North America,250266.0,391.0,178.0,6233.0,789.0,68323.0,2115.0,2371.0,365.0,633.0,46992.0,3896.0,59.0,293.0,796.0,7365.0,1186.0,590.0,1133.0,568.0,1023.0,111.0,3377.0,5342.0,1288.0,877.0,294.0,701.0,73.0,588.0,3323.0,245.0,7519.0,2140.0,26978.0,4518.0,40.0,797.0,769.0,1378.0,3067.0,899.0,894.0,807.0,57.0,921.0,25683.0,152.0,513.0,1015.0,70.0,4112.0,3144.0,55.0,951.0,84.0,2185
Oceania,3928.0,8.0,47.0,83.0,8.0,1531.0,102.0,36.0,,31.0,116.0,62.0,12.0,186.0,12.0,44.0,21.0,6.0,13.0,25.0,14.0,7.0,48.0,52.0,18.0,20.0,8.0,23.0,5.0,6.0,49.0,11.0,52.0,12.0,178.0,85.0,5.0,25.0,9.0,74.0,45.0,,6.0,18.0,,23.0,147.0,16.0,0.0,107.0,6.0,167.0,297.0,,23.0,,22
South America,61674.0,93.0,43.0,345.0,53.0,5710.0,318.0,1521.0,,213.0,16777.0,1235.0,15.0,130.0,88.0,862.0,170.0,84.0,134.0,95.0,195.0,40.0,1289.0,2271.0,231.0,356.0,75.0,139.0,16.0,67.0,393.0,146.0,5594.0,102.0,12487.0,1424.0,8.0,302.0,122.0,139.0,892.0,224.0,264.0,413.0,,233.0,2336.0,33.0,19.0,413.0,18.0,2285.0,477.0,18.0,152.0,14.0,505
Afghanistan,2588.0,0.0,0.0,79.0,0.0,888.0,45.0,32.0,8.0,0.0,42.0,54.0,0.0,0.0,32.0,47.0,12.0,7.0,,9.0,9.0,8.0,33.0,41.0,28.0,3.0,0.0,64.0,0.0,17.0,28.0,4.0,65.0,14.0,254.0,31.0,0.0,15.0,0.0,17.0,45.0,0.0,,,,14.0,88.0,0.0,0.0,31.0,0.0,434.0,41.0,0.0,13.0,0.0,30
Albania,3483.0,0.0,3.0,20.0,,87.0,6.0,256.0,0.0,5.0,274.0,14.0,0.0,0.0,7.0,197.0,5.0,0.0,4.0,0.0,4.0,0.0,36.0,457.0,350.0,6.0,0.0,55.0,0.0,,26.0,9.0,175.0,0.0,833.0,34.0,0.0,85.0,3.0,9.0,289.0,0.0,,21.0,0.0,11.0,54.0,,0.0,7.0,0.0,56.0,17.0,0.0,41.0,0.0,22
Algeria,1024.0,3.0,0.0,4.0,4.0,135.0,18.0,12.0,,3.0,42.0,12.0,0.0,0.0,0.0,55.0,7.0,,3.0,,15.0,,16.0,95.0,16.0,8.0,0.0,6.0,0.0,,12.0,4.0,55.0,,166.0,33.0,0.0,37.0,,6.0,58.0,0.0,,5.0,,9.0,75.0,0.0,0.0,,0.0,76.0,14.0,0.0,3.0,0.0,3
