,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Total prosecutions,14655.0,18731,14854.0,17035,16115.0,19180.0,23826,22491,22926.0,24316,23850,24918.0,19541.0
Total convictions,9865.0,11685,10210.0,12075,12121.0,16184.0,21480,20471,20751.0,21055,21042,22479.0,17100.0
Total acquittals,57.0,240,86.0,124,108.0,24.0,65,58,96.0,92,114,57.0,11.0
Total dismissals,4733.0,6806,4558.0,4836,3886.0,2972.0,2281,1962,2079.0,3169,2694,2382.0,2430.0
Immigration prosecutions,14138.0,15566,13068.0,15337,14223.0,17807.0,22857,21588,22071.0,23374,23219,24153.0,19370.0
Immigration convictions,9766.0,10189,9180.0,11110,11014.0,15219.0,20768,19753,20007.0,20297,20483,21821.0,16945.0
Immigration acquittals,57.0,145,74.0,94,107.0,22.0,60,52,81.0,88,108,46.0,10.0
Immigration dismissals,4315.0,5232,3814.0,4133,3102.0,2566.0,2029,1783,1983.0,2989,2628,2286.0,2415.0
Naturalization prosecutions,517.0,695,506.0,328,176.0,212.0,171,206,211.0,196,171,155.0,95.0
Naturalization convictions,99.0,287,160.0,113,133.0,164.0,129,173,181.0,168,146,137.0,86.0
Naturalization acquittals,0.0,82,10.0,5,0.0,,0,0,,0,3,,
Naturalization dismissals,418.0,326,336.0,210,43.0,47.0,42,33,29.0,28,22,17.0,8.0
Other prosecutions,,2470,1280.0,1370,1716.0,1161.0,798,697,644.0,746,460,610.0,76.0
Other convictions,,1209,870.0,852,974.0,801.0,583,545,563.0,590,413,521.0,69.0
Other acquittals,,13,,25,,,5,6,14.0,4,3,10.0,0.0
Other dismissals,,1248,408.0,493,741.0,359.0,210,146,67.0,152,44,79.0,7.0
Fines (dollars),1673488.0,2613297,101503303.0,955054,1131709.0,760209.0,776622,1275604,4795872.0,12498608,2171518,1066176.0,87896.0
Immigration fines,1670839.0,2242129,316163.0,609480,959214.0,310893.0,437547,692477,3677297.0,468718,707224,941950.0,83004.0
Naturalization fines,2649.0,9660,7080.0,13695,3195.0,11579.0,7870,10575,74545.0,26025,7550,1650.0,0.0
Other fines,,361508,101180060.0,331879,169300.0,437737.0,331205,572552,1044030.0,12003865,1456744,122576.0,4892.0
Imprisonment (years),5592.0,6626,7522.0,7161,6947.0,11353.0,12030,14843,19003.0,17863,16803,19646.0,10568.0
Immigration imprisonment,5550.0,3872,3720.0,5234,5436.0,8059.0,10455,12922,16109.0,14786,15612,17776.0,10486.0
Naturalization violations,42.0,95,36.0,52,64.0,77.0,116,180,101.0,121,104,118.0,57.0
Other violations,,2659,3766.0,1875,1447.0,3217.0,1459,1741,2793.0,2956,1087,1752.0,25.0
