,Removals,Returns,Formal removals,Voluntary departures
1892-1900 ,,,25642.0,
1901-10 ,,,119769.0,
1911-20 ,,,206021.0,
1921-30 ,,,281464.0,72233.0
1931-40 ,,,185303.0,93330.0
1941-50 ,,,141112.0,1470925.0
1951-60 ,,,150472.0,3883660.0
1892,2801.0,,,
1893,1630.0,,,
1894,1806.0,,,
1895,2596.0,,,
1896,3037.0,,,
1897,1880.0,,,
1898,3229.0,,,
1899,4052.0,,,
1900,4602.0,,,
1901,3879.0,,,
1902,5439.0,,,
1903,9316.0,,,
1904,8773.0,,,
1905,12724.0,,,
1906,13108.0,,,
1907,14059.0,,,
1908,12971.0,,,
1909,12535.0,,,
1910,26965.0,,,
1911,25137.0,,,
1912,18513.0,,,
1913,23399.0,,,
1914,37651.0,,,
1915,26675.0,,,
1916,21648.0,,,
1917,17881.0,,,
1918,8866.0,,,
1919,11694.0,,,
1920,14557.0,,,
1921,18296.0,,,
1922,18076.0,,,
1923,24280.0,,,
1924,36693.0,,,
1925,34885.0,,,
1926,31454.0,,,
1927,31417.0,15012.0,,
1928,30464.0,19946.0,,
1929,31035.0,25888.0,,
1930,24864.0,11387.0,,
1931,27886.0,11719.0,,
1932,26490.0,10775.0,,
1933,25392.0,10347.0,,
1934,14263.0,8010.0,,
1935,13877.0,7978.0,,
1936,16195.0,8251.0,,
1937,16905.0,8788.0,,
1938,17341.0,9278.0,,
1939,14700.0,9590.0,,
1940,12254.0,8594.0,,
1941,7336.0,6531.0,,
1942,5542.0,6904.0,,
1943,5702.0,11947.0,,
1944,8821.0,32270.0,,
1945,13611.0,69490.0,,
1946,17317.0,101945.0,,
1947,23434.0,195880.0,,
1948,25276.0,197184.0,,
1949,23874.0,276297.0,,
1950,10199.0,572477.0,,
1951,17328.0,673169.0,,
1952,23125.0,703778.0,,
1953,23482.0,885391.0,,
1954,30264.0,1074277.0,,
1955,17695.0,232769.0,,
1956,9006.0,80891.0,,
1957,5989.0,63379.0,,
1958,7875.0,60600.0,,
1959,8468.0,56610.0,,
1960,7240.0,52796.0,,
1961,8181.0,52383.0,8181.0,52383.0
1962,8025.0,54164.0,8025.0,54164.0
1963,7763.0,69392.0,7763.0,69392.0
1964,9167.0,73042.0,9167.0,73042.0
1965,10572.0,95263.0,10572.0,95263.0
1966,9680.0,123683.0,9680.0,123683.0
1967,9728.0,142343.0,9728.0,142343.0
1968,9590.0,179952.0,9590.0,179952.0
1969,11030.0,240958.0,11030.0,240958.0
1970,17469.0,303348.0,17469.0,303348.0
1971,18294.0,370074.0,18294.0,370074.0
1972,16883.0,450927.0,16883.0,450927.0
1973,17346.0,568005.0,17346.0,568005.0
1974,19413.0,718740.0,19413.0,718740.0
1975,24432.0,655814.0,24432.0,655814.0
1976,38471.0,955374.0,38471.0,955374.0
1977,31263.0,867015.0,31263.0,867015.0
1978,29277.0,975515.0,29277.0,975515.0
1979,26825.0,966137.0,26825.0,966137.0
1980,18013.0,719211.0,18013.0,719211.0
1981,17379.0,823875.0,17379.0,823875.0
1982,15216.0,812572.0,15216.0,812572.0
1983,19211.0,931600.0,19211.0,931600.0
1984,18696.0,909833.0,18696.0,909833.0
1985,23105.0,1041296.0,23105.0,1041296.0
1986,24592.0,1586320.0,24592.0,1586320.0
1987,24336.0,1091203.0,24336.0,1091203.0
1988,25829.0,911790.0,25829.0,911790.0
1989,34427.0,830890.0,34427.0,830890.0
1990,30039.0,1022533.0,30039.0,1022533.0
1991,33189.0,1061105.0,33189.0,1061105.0
1992,43671.0,1105829.0,43671.0,1105829.0
1993,42542.0,1243410.0,42469.0,1243334.0
1994,45674.0,1029107.0,45621.0,1029052.0
1995,50924.0,1313764.0,50873.0,1313711.0
1996,69680.0,1573428.0,69588.0,1573372.0
1997,114432.0,1440684.0,114292.0,1440580.0
1998,174813.0,1570127.0,172547.0,1569817.0
1999,183114.0,1574863.0,,
2000,188467.0,1675876.0,,
2001,189026.0,1349371.0,,
2002,165168.0,1012116.0,,
2003,211098.0,945294.0,,
2004,240665.0,1166576.0,,
2005,246431.0,1096920.0,,
2006,280974.0,1043381.0,,
2007,319382.0,891390.0,,
2008,359795.0,811263.0,,
2009,391597.0,582624.0,,
2010,382265.0,474233.0,,
2011,387134.0,322124.0,,
2012,418397.0,230386.0,,
2013,438421.0,178371.0,,
,,,,
