bills,no_dem,no_rep,year,yes_dem,yes_rep
s1357,0.44,0.02,1996,0.01,0.51
hr4278,0.01,0.14,1996,0.46,0.38
hr1158,0.425287356322,0.00689655172414,1995,0.0229885057471,0.51724137931
hr1944,0.345622119816,0.0,1995,0.103686635945,0.532258064516
hr2076,0.355658198614,0.00923787528868,1996,0.0508083140878,0.503464203233
hr3019,0.0115207373272,0.0460829493088,1996,0.423963133641,0.493087557604
hr3814,0.254041570439,0.157043879908,1996,0.193995381062,0.374133949192
s947,0.24,0.03,1997,0.21,0.52
s1022,0.0,0.0,1997,0.45,0.54
s1061,0.0,0.08,1997,0.45,0.47
sconres86,0.41,0.0,1998,0.03,0.54
s2260,0.0,0.0,1998,0.45,0.54
s2312,0.0,0.54,1998,0.45,0.0
hr1469,0.458525345622,0.0115207373272,1997,0.0,0.497695852535
hr1871,0.00230414746544,0.168202764977,1997,0.453917050691,0.345622119816
hr2015,0.119540229885,0.0735632183908,1997,0.351724137931,0.44367816092
hjres94,0.0115473441109,0.120092378753,1997,0.431870669746,0.385681293303
hr2607,0.309468822171,0.0,1997,0.00230946882217,0.37182448037
hr2264,0.0115473441109,0.13856812933,1997,0.448036951501,0.362586605081
hr2267,0.145833333333,0.106481481481,1997,0.282407407407,0.37037037037
hr3989,0.453917050691,0.513824884793,1998,0.0,0.0
hconres284,0.447004608295,0.0207373271889,1998,0.00691244239631,0.490783410138
hr4276,0.402298850575,0.0620689655172,1998,0.064367816092,0.452873563218
hr4194,0.0115207373272,0.0207373271889,1998,0.44930875576,0.490783410138
hr4328,0.0712643678161,0.147126436782,1998,0.390804597701,0.372413793103
s544,0.11,0.48,1999,0.34,0.06
s1217,0.41,0.2,1999,0.02,0.33
s1233,0.04,0.39,1999,0.38,0.14
hr1141,0.205069124424,0.15668202765,1999,0.269585253456,0.350230414747
hr1906,0.256351039261,0.145496535797,1999,0.198614318707,0.355658198614
hr2670,0.44930875576,0.0391705069124,1999,0.0299539170507,0.465437788018
hr4690,0.393103448276,0.0505747126437,2000,0.0597701149425,0.432183908046
hr4577,0.0208333333333,0.118055555556,2000,0.363425925926,0.30787037037
hr2500,0.0,0.0347222222222,2001,0.481481481481,0.465277777778
hr4775,0.0299539170507,0.0414746543779,2002,0.44930875576,0.463133640553
hjres122,0.327146171694,0.0046403712297,2002,0.141531322506,0.489559164733
